athletic,"The athletic program requires daily training sessions.",운동의,"운동 프로그램은 매일 훈련 세션을 요구한다.",運動の,"運動プログラムは毎日のトレーニングセッションを必要とする。",运动的,"运动项目需要每天的训练课程。",atlético,"El programa atlético requiere sesiones de entrenamiento diarias.",thể thao,"Chương trình thể thao yêu cầu các buổi tập luyện hàng ngày.",กีฬา,"โปรแกรมกีฬาต้องการการฝึกซ้อมทุกวัน",atletis,"Program atletis memerlukan sesi latihan harian."
referee,"The referee made a controversial decision during the match.",심판,"심판이 경기 중 논란이 되는 결정을 내렸다.",審判,"審判が試合中に物議を醸す判定を下した。",裁判,"裁判在比赛中做出了有争议的决定。",árbitro,"El árbitro tomó una decisión controvertida durante el partido.",trọng tài,"Trọng tài đã đưa ra quyết định gây tranh cãi trong trận đấu.",ผู้ตัดสิน,"ผู้ตัดสินตัดสินใจอย่างขัดแย้งระหว่างการแข่งขัน",wasit,"Wasit membuat keputusan kontroversial selama pertandingan."
tournament,"The annual tournament attracts teams from across the country.",대회,"연례 대회는 전국의 팀들을 끌어모은다.",トーナメント,"年次トーナメントは全国からチームを集める。",锦标赛,"年度锦标赛吸引了来自全国各地的队伍。",torneo,"El torneo anual atrae equipos de todo el país.",giải đấu,"Giải đấu hàng năm thu hút các đội từ khắp cả nước.",ทัวร์นาเมนต์,"ทัวร์นาเมนต์ประจำปีดึงดูดทีมจากทั่วประเทศ",turnamen,"Turnamen tahunan menarik tim dari seluruh negeri."
veterinary,"She decided to pursue a veterinary career to help animals.",수의학의,"그녀는 동물을 돕기 위해 수의학 경력을 추구하기로 결정했다.",獣医の,"彼女は動物を助けるために獣医のキャリアを追求することにした。",兽医的,"她决定从事兽医职业来帮助动物。",veterinario,"Decidió seguir una carrera veterinaria para ayudar a los animales.",thú y,"Cô ấy quyết định theo đuổi sự nghiệp thú y để giúp đỡ động vật.",สัตวแพทย์,"เธอตัดสินใจเดินทางสายอาชีพสัตวแพทย์เพื่อช่วยเหลือสัตว์",kedokteran hewan,"Dia memutuskan mengejar karier kedokteran hewan untuk membantu hewan."
blueprint,"The architect presented the blueprint for the new hospital.",청사진,"건축가가 새 병원의 청사진을 발표했다.",設計図,"建築家が新しい病院の設計図を提示した。",蓝图,"建筑师展示了新医院的蓝图。",plano,"El arquitecto presentó el plano del nuevo hospital.",bản thiết kế,"Kiến trúc sư đã trình bày bản thiết kế cho bệnh viện mới.",พิมพ์เขียว,"สถาปนิกนำเสนอพิมพ์เขียวสำหรับโรงพยาบาลแห่งใหม่",cetak biru,"Arsitek mempresentasikan cetak biru untuk rumah sakit baru."
hygiene,"Good hygiene practices prevent the spread of infectious diseases.",위생,"좋은 위생 관행은 전염병의 확산을 예방한다.",衛生,"良好な衛生習慣は感染症の拡大を防ぐ。",卫生,"良好的卫生习惯可以防止传染病的传播。",higiene,"Las buenas prácticas de higiene previenen la propagación de enfermedades infecciosas.",vệ sinh,"Thực hành vệ sinh tốt ngăn ngừa sự lây lan của bệnh truyền nhiễm.",สุขอนามัย,"การปฏิบัติด้านสุขอนามัยที่ดีป้องกันการแพร่กระจายของโรคติดเชื้อ",kebersihan,"Praktik kebersihan yang baik mencegah penyebaran penyakit menular."
counselor,"The counselor provided emotional support to the family.",상담사,"상담사가 가족에게 정서적 지원을 제공했다.",カウンセラー,"カウンセラーが家族に精神的サポートを提供した。",咨询师,"咨询师为家庭提供了情感支持。",consejero,"El consejero brindó apoyo emocional a la familia.",cố vấn,"Cố vấn đã cung cấp hỗ trợ tinh thần cho gia đình.",ที่ปรึกษา,"ที่ปรึกษาให้การสนับสนุนทางอารมณ์แก่ครอบครัว",konselor,"Konselor memberikan dukungan emosional kepada keluarga."
roster,"The coach finalized the roster before the season began.",선수 명단,"코치가 시즌 시작 전에 선수 명단을 확정했다.",名簿,"コーチはシーズン開始前に名簿を確定させた。",名册,"教练在赛季开始前确定了名册。",plantilla,"El entrenador finalizó la plantilla antes de que comenzara la temporada.",danh sách,"Huấn luyện viên đã hoàn tất danh sách trước khi mùa giải bắt đầu.",รายชื่อ,"โค้ชสรุปรายชื่อก่อนฤดูกาลเริ่มต้น",daftar pemain,"Pelatih menyelesaikan daftar pemain sebelum musim dimulai."
vaccine,"The vaccine was distributed to vulnerable populations first.",백신,"백신이 취약 계층에게 우선 배포되었다.",ワクチン,"ワクチンはまず脆弱な集団に配布された。",疫苗,"疫苗首先分发给了脆弱人群。",vacuna,"La vacuna se distribuyó primero a las poblaciones vulnerables.",vắc-xin,"Vắc-xin được phân phối cho các nhóm dân số dễ bị tổn thương trước.",วัคซีน,"วัคซีนถูกแจกจ่ายให้กับประชากรกลุ่มเปราะบางก่อน",vaksin,"Vaksin didistribusikan kepada populasi rentan terlebih dahulu."
facade,"The facade of the building was designed in a neoclassical style.",외관,"건물의 외관은 신고전주의 양식으로 설계되었다.",ファサード,"建物のファサードは新古典主義様式でデザインされた。",外立面,"建筑的外立面采用了新古典主义风格设计。",fachada,"La fachada del edificio fue diseñada en un estilo neoclásico.",mặt tiền,"Mặt tiền của tòa nhà được thiết kế theo phong cách tân cổ điển.",ด้านหน้าอาคาร,"ด้านหน้าอาคารถูกออกแบบในสไตล์นีโอคลาสสิก",fasad,"Fasad bangunan dirancang dengan gaya neoklasik."
championship,"The team won the national championship for the third consecutive year.",선수권 대회,"팀이 3년 연속 전국 선수권 대회에서 우승했다.",選手権,"チームは3年連続で全国選手権を獲得した。",锦标赛,"该队连续第三年赢得全国锦标赛。",campeonato,"El equipo ganó el campeonato nacional por tercer año consecutivo.",giải vô địch,"Đội đã giành chức vô địch quốc gia năm thứ ba liên tiếp.",แชมป์,"ทีมคว้าแชมป์ระดับชาติเป็นปีที่สามติดต่อกัน",kejuaraan,"Tim memenangkan kejuaraan nasional untuk tahun ketiga berturut-turut."
quarantine,"The infected animals were placed in quarantine immediately.",격리,"감염된 동물들은 즉시 격리되었다.",検疫,"感染した動物はすぐに検疫に入れられた。",隔离,"受感染的动物立即被隔离。",cuarentena,"Los animales infectados fueron puestos en cuarentena inmediatamente.",cách ly,"Các động vật bị nhiễm bệnh đã được cách ly ngay lập tức.",กักกัน,"สัตว์ที่ติดเชื้อถูกกักกันทันที",karantina,"Hewan yang terinfeksi segera ditempatkan dalam karantina."
renovation,"The renovation of the historic building took over two years.",개보수,"역사적 건물의 개보수는 2년 이상 걸렸다.",改修,"歴史的建造物の改修には2年以上かかった。",翻修,"历史建筑的翻修花了两年多。",renovación,"La renovación del edificio histórico tomó más de dos años.",cải tạo,"Việc cải tạo tòa nhà lịch sử mất hơn hai năm.",การปรับปรุง,"การปรับปรุงอาคารประวัติศาสตร์ใช้เวลากว่าสองปี",renovasi,"Renovasi bangunan bersejarah memakan waktu lebih dari dua tahun."
sanitation,"Proper sanitation systems are essential for public health.",위생 시설,"적절한 위생 시설은 공중 보건에 필수적이다.",衛生設備,"適切な衛生設備は公衆衛生に不可欠である。",卫生设施,"适当的卫生设施对公共卫生至关重要。",saneamiento,"Los sistemas de saneamiento adecuados son esenciales para la salud pública.",vệ sinh môi trường,"Hệ thống vệ sinh môi trường phù hợp là thiết yếu cho sức khỏe cộng đồng.",สุขาภิบาล,"ระบบสุขาภิบาลที่เหมาะสมเป็นสิ่งจำเป็นสำหรับสาธารณสุข",sanitasi,"Sistem sanitasi yang layak sangat penting untuk kesehatan masyarakat."
