english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example
adjudicate,The committee will adjudicate the dispute between the two firms.,판결하다,위원회가 두 회사 간의 분쟁을 판결할 것이다.,裁定する,委員会は両社間の紛争を裁定する。,裁决,委员会将裁决两家公司之间的纠纷。,"adjudicar, arbitrar",El comité adjudicará la disputa entre las dos empresas.
amortize,The company will amortize the loan over a ten-year period.,분할 상환하다,회사는 10년에 걸쳐 대출금을 분할 상환할 것이다.,償却する,会社は10年間でローンを償却する。,摊销,公司将在十年内分期偿还贷款。,amortizar,La empresa amortizará el préstamo a lo largo de un período de diez años.
annuity,She invested her retirement savings in a fixed annuity plan.,연금,그녀는 퇴직 저축을 고정 연금 상품에 투자했다.,年金,彼女は退職貯蓄を固定年金プランに投資した。,年金,她将退休储蓄投资于固定年金计划。,"anualidad, renta vitalicia",Ella invirtió sus ahorros de jubilación en un plan de anualidad fija.
appraise,An independent expert was hired to appraise the property value.,감정하다,독립적인 전문가가 부동산 가치를 감정하기 위해 고용되었다.,鑑定する,独立した専門家が不動産価値を鑑定するために雇われた。,评估,聘请了一位独立专家来评估房产价值。,"tasar, valorar",Se contrató a un experto independiente para tasar el valor de la propiedad.
arbitrate,A neutral party was appointed to arbitrate the labor dispute.,중재하다,중립적인 제3자가 노동 분쟁을 중재하도록 임명되었다.,仲裁する,中立的な第三者が労働紛争を仲裁するために任命された。,仲裁,一名中立方被指定来仲裁劳动纠纷。,arbitrar,Se nombró a una parte neutral para arbitrar la disputa laboral.
attrition,The company reduced staff through natural attrition rather than layoffs.,자연 감소,회사는 해고 대신 자연 감소를 통해 직원을 줄였다.,自然減少,会社は解雇ではなく自然減少で人員を削減した。,自然减员,公司通过自然减员而非裁员来减少员工。,"desgaste natural, reducción gradual",La empresa redujo el personal mediante el desgaste natural en lugar de despidos.
benchmark,This quarter's sales figures will serve as a benchmark for next year.,기준점,이번 분기 매출 수치가 내년의 기준점이 될 것이다.,ベンチマーク,今四半期の売上数字が来年のベンチマークとなる。,基准,本季度的销售数据将作为明年的基准。,"punto de referencia, parámetro",Las cifras de ventas de este trimestre servirán de referencia para el próximo año.
bilateral,The two countries signed a bilateral trade agreement last month.,쌍무적인,두 나라는 지난달 쌍무 무역 협정에 서명했다.,二国間の,両国は先月、二国間貿易協定に署名した。,双边的,两国上月签署了双边贸易协定。,bilateral,Los dos países firmaron un acuerdo comercial bilateral el mes pasado.
bondholder,Each bondholder will receive quarterly interest payments on schedule.,채권 보유자,각 채권 보유자는 예정대로 분기별 이자를 받게 된다.,債券保有者,各債券保有者は予定通り四半期ごとに利息を受け取る。,债券持有人,每位债券持有人将按时收到季度利息支付。,tenedor de bonos,Cada tenedor de bonos recibirá pagos de intereses trimestrales según lo previsto.
capitalization,The firm's market capitalization exceeded ten billion dollars this year.,자본화,올해 그 회사의 시가 총액이 100억 달러를 초과했다.,資本化,今年、その企業の時価総額は100億ドルを超えた。,资本化,今年该公司的市值超过了一百亿美元。,capitalización,La capitalización bursátil de la empresa superó los diez mil millones de dólares este año.
collateral,The bank required real estate as collateral for the business loan.,담보,은행은 사업 대출에 대한 담보로 부동산을 요구했다.,担保,銀行は事業融資の担保として不動産を要求した。,抵押品,银行要求以房地产作为商业贷款的抵押品。,garantía colateral,El banco exigió bienes raíces como garantía para el préstamo comercial.
conglomerate,The conglomerate acquired three smaller companies in the technology sector.,대기업 집단,그 대기업 집단은 기술 분야의 소규모 회사 3곳을 인수했다.,コングロマリット,そのコングロマリットはテクノロジー分野の3つの小企業を買収した。,企业集团,该企业集团收购了三家科技领域的小公司。,"conglomerado, grupo empresarial",El conglomerado adquirió tres empresas más pequeñas del sector tecnológico.
contingent,The bonus payment is contingent upon meeting annual performance targets.,우발적인,보너스 지급은 연간 성과 목표 달성에 따라 결정된다.,偶発的な,ボーナスの支払いは年間業績目標の達成を条件とする。,或有的,奖金支付取决于是否达到年度绩效目标。,"contingente, sujeto a condición",El pago del bono está supeditado al cumplimiento de los objetivos de rendimiento anual.
convertible,The company issued convertible bonds that can become common stock.,전환 가능한,회사는 보통주로 전환 가능한 전환사채를 발행했다.,転換可能な,会社は普通株に転換可能な転換社債を発行した。,可转换的,公司发行了可转换为普通股的可转换债券。,"convertible, canjeable",La empresa emitió bonos convertibles que pueden convertirse en acciones ordinarias.
covenant,The loan covenant restricts the company from taking on additional debt.,계약 조항,대출 계약 조항은 회사의 추가 부채 부담을 제한한다.,契約条項,融資契約条項は会社の追加債務負担を制限している。,契约条款,贷款契约条款限制公司承担额外债务。,"cláusula contractual, pacto",La cláusula del préstamo restringe a la empresa de asumir deuda adicional.
creditor,The creditor filed a claim to recover the outstanding balance owed.,채권자,채권자는 미지급 잔액을 회수하기 위해 청구서를 제출했다.,債権者,債権者は未払い残高を回収するために請求を提出した。,债权人,债权人提交了索赔以追回未偿余额。,acreedor,El acreedor presentó una reclamación para recuperar el saldo pendiente adeudado.
debenture,The firm raised capital by issuing unsecured debentures to investors.,사채,회사는 투자자들에게 무담보 사채를 발행하여 자금을 조달했다.,社債,会社は投資家に無担保社債を発行して資金を調達した。,公司债券,公司通过向投资者发行无担保公司债券筹集资金。,"obligación, bono no garantizado",La empresa recaudó capital emitiendo obligaciones no garantizadas a los inversores.
delinquent,Customers with delinquent accounts will receive a final payment notice.,연체된,연체 계좌를 가진 고객은 최종 납부 통지를 받게 된다.,延滞の,延滞口座の顧客には最終支払い通知が届く。,拖欠的,逾期账户的客户将收到最终付款通知。,"moroso, en mora",Los clientes con cuentas en mora recibirán un aviso de pago final.
depreciation,The depreciation of equipment is recorded as an annual operating expense.,감가상각,장비 감가상각은 연간 운영 비용으로 기록된다.,減価償却,設備の減価償却は年間の営業費用として計上される。,折旧,设备折旧作为年度运营费用记录。,"depreciación, amortización",La depreciación del equipo se registra como un gasto operativo anual.
derivative,The bank offers various derivative products to manage financial risk.,파생 상품,은행은 재무 위험을 관리하기 위해 다양한 파생 상품을 제공한다.,デリバティブ,銀行は財務リスク管理のためにさまざまなデリバティブ商品を提供する。,衍生品,银行提供各种衍生品来管理财务风险。,derivado financiero,El banco ofrece varios productos derivados para gestionar el riesgo financiero.
disbursement,The disbursement of project funds requires approval from the finance director.,지출,프로젝트 자금 지출에는 재무 이사의 승인이 필요하다.,支出,プロジェクト資金の支出には財務部長の承認が必要である。,支出,项目资金的支出需要财务总监的批准。,"desembolso, pago",El desembolso de los fondos del proyecto requiere la aprobación del director financiero.
disclaimer,The contract includes a disclaimer limiting liability for indirect damages.,면책 조항,계약서에는 간접 손해에 대한 책임을 제한하는 면책 조항이 포함되어 있다.,免責条項,契約書には間接損害に対する責任を制限する免責条項が含まれている。,免责声明,合同包含一项限制间接损害赔偿责任的免责声明。,"descargo de responsabilidad, exención",El contrato incluye una cláusula de exención que limita la responsabilidad por daños indirectos.
disposition,The court ordered the disposition of assets to satisfy creditor claims.,처분,법원은 채권자의 청구를 충족시키기 위해 자산 처분을 명령했다.,処分,裁判所は債権者の請求を満たすために資産の処分を命じた。,处置,法院命令处置资产以满足债权人的索赔。,"disposición, enajenación",El tribunal ordenó la disposición de activos para satisfacer las reclamaciones de los acreedores.
divestiture,The divestiture of the underperforming division improved overall profitability.,매각,실적이 부진한 사업부의 매각이 전체 수익성을 개선했다.,売却,不採算部門の売却により全体の収益性が向上した。,资产剥离,剥离表现不佳的部门提高了整体盈利能力。,"desinversión, venta de activos",La desinversión de la división con bajo rendimiento mejoró la rentabilidad general.
encumbrance,The property was sold free of any encumbrance or legal restriction.,저당권,그 부동산은 어떠한 저당권이나 법적 제한 없이 매각되었다.,抵当権,その不動産はいかなる抵当権や法的制限もなく売却された。,产权负担,该房产在没有任何产权负担或法律限制的情况下出售。,"gravamen, carga",La propiedad se vendió libre de cualquier gravamen o restricción legal.
endowment,The university received a generous endowment to fund new research programs.,기부금,대학은 새로운 연구 프로그램을 위한 관대한 기부금을 받았다.,寄付金,大学は新しい研究プログラムのための多額の寄付金を受けた。,捐赠基金,大学收到了一笔慷慨的捐赠基金用于资助新研究项目。,"dotación, fondo de dotación",La universidad recibió una generosa dotación para financiar nuevos programas de investigación.
equity,Shareholders' equity increased by fifteen percent compared to last year.,자기 자본,주주 자기 자본이 작년 대비 15% 증가했다.,株主資本,株主資本は前年比15%増加した。,股权,股东权益与去年相比增长了百分之十五。,"capital propio, patrimonio neto",El capital de los accionistas aumentó un quince por ciento en comparación con el año anterior.
