english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
accomplish,She accomplished her goal of finishing the research paper on time.,성취하다,그녀는 제시간에 연구 논문을 끝내는 목표를 성취했다.,達成する,彼女は期限内に研究論文を完成させる目標を達成した。,完成,她完成了按时完成研究论文的目标。,lograr,Ella logró su objetivo de terminar el trabajo de investigación a tiempo.,hoàn thành,Cô ấy đã hoàn thành mục tiêu hoàn thành bài nghiên cứu đúng hạn.,สำเร็จ,เธอทำสำเร็จตามเป้าหมายในการเขียนรายงานวิจัยให้เสร็จทันเวลา,menyelesaikan,Dia menyelesaikan tujuannya untuk menyelesaikan makalah penelitian tepat waktu.
achieve,Students can achieve high scores through consistent study habits.,달성하다,학생들은 꾸준한 학습 습관을 통해 높은 점수를 달성할 수 있다.,達成する,学生は一貫した学習習慣を通じて高得点を達成できる。,取得,学生可以通过持续的学习习惯取得高分。,alcanzar,Los estudiantes pueden alcanzar altas puntuaciones con hábitos de estudio constantes.,đạt được,Sinh viên có thể đạt được điểm cao nhờ thói quen học tập đều đặn.,บรรลุ,นักศึกษาสามารถบรรลุคะแนนสูงได้ด้วยนิสัยการเรียนที่สม่ำเสมอ,mencapai,Mahasiswa dapat mencapai nilai tinggi melalui kebiasaan belajar yang konsisten.
acquire,The university library acquired a new collection of academic journals.,습득하다,대학 도서관이 새로운 학술 저널 컬렉션을 습득했다.,取得する,大学図書館は新しい学術雑誌のコレクションを取得した。,获得,大学图书馆获得了一批新的学术期刊。,adquirir,La biblioteca universitaria adquirió una nueva colección de revistas académicas.,thu được,Thư viện đại học đã thu được một bộ sưu tập tạp chí học thuật mới.,ได้มา,ห้องสมุดมหาวิทยาลัยได้มาซึ่งคอลเลกชันวารสารวิชาการใหม่,memperoleh,Perpustakaan universitas memperoleh koleksi baru jurnal akademik.
adapt,International students must adapt to a new academic environment.,적응하다,유학생들은 새로운 학업 환경에 적응해야 한다.,適応する,留学生は新しい学術環境に適応しなければならない。,适应,国际学生必须适应新的学术环境。,adaptarse,Los estudiantes internacionales deben adaptarse a un nuevo entorno académico.,thích nghi,Sinh viên quốc tế phải thích nghi với môi trường học thuật mới.,ปรับตัว,นักศึกษาต่างชาติต้องปรับตัวให้เข้ากับสภาพแวดล้อมทางวิชาการใหม่,beradaptasi,Mahasiswa internasional harus beradaptasi dengan lingkungan akademik baru.
adequate,The professor provided adequate resources for the final project.,충분한,교수는 기말 프로젝트를 위한 충분한 자료를 제공했다.,十分な,教授は最終プロジェクトに十分なリソースを提供した。,充分的,教授为期末项目提供了充分的资源。,adecuado,El profesor proporcionó recursos adecuados para el proyecto final.,đầy đủ,Giáo sư đã cung cấp đầy đủ tài liệu cho đồ án cuối kỳ.,เพียงพอ,อาจารย์จัดหาทรัพยากรที่เพียงพอสำหรับโปรเจกต์สุดท้าย,memadai,Profesor menyediakan sumber daya yang memadai untuk proyek akhir.
adjust,You need to adjust your study schedule before the exam period.,조정하다,시험 기간 전에 학습 일정을 조정해야 한다.,調整する,試験期間前に学習スケジュールを調整する必要がある。,调整,你需要在考试期间之前调整学习计划。,ajustar,Necesitas ajustar tu horario de estudio antes del período de exámenes.,điều chỉnh,Bạn cần điều chỉnh lịch học trước kỳ thi.,ปรับ,คุณต้องปรับตารางเรียนก่อนช่วงสอบ,menyesuaikan,Kamu perlu menyesuaikan jadwal belajar sebelum masa ujian.
affect,Budget cuts will affect the number of courses offered next semester.,영향을 미치다,예산 삭감은 다음 학기에 제공되는 강좌 수에 영향을 미칠 것이다.,影響する,予算削減は来学期に提供されるコース数に影響する。,影响,预算削减将影响下学期提供的课程数量。,afectar,Los recortes presupuestarios afectarán la cantidad de cursos ofrecidos el próximo semestre.,ảnh hưởng,Việc cắt giảm ngân sách sẽ ảnh hưởng đến số lượng khóa học được cung cấp vào học kỳ tới.,กระทบ,การตัดงบประมาณจะกระทบต่อจำนวนรายวิชาที่เปิดสอนในภาคเรียนหน้า,mempengaruhi,Pemotongan anggaran akan mempengaruhi jumlah mata kuliah yang ditawarkan semester depan.
alter,The committee decided to alter the graduation requirements.,변경하다,위원회는 졸업 요건을 변경하기로 결정했다.,変更する,委員会は卒業要件を変更することを決定した。,改变,委员会决定改变毕业要求。,alterar,El comité decidió alterar los requisitos de graduación.,thay đổi,Ủy ban đã quyết định thay đổi các yêu cầu tốt nghiệp.,เปลี่ยนแปลง,คณะกรรมการตัดสินใจเปลี่ยนแปลงข้อกำหนดการสำเร็จการศึกษา,mengubah,Komite memutuskan untuk mengubah persyaratan kelulusan.
analyze,The students were asked to analyze the data from the experiment.,분석하다,학생들은 실험 데이터를 분석하도록 요청받았다.,分析する,学生たちは実験のデータを分析するよう求められた。,分析,学生们被要求分析实验数据。,analizar,Se pidió a los estudiantes que analizaran los datos del experimento.,phân tích,Sinh viên được yêu cầu phân tích dữ liệu từ thí nghiệm.,วิเคราะห์,นักศึกษาถูกขอให้วิเคราะห์ข้อมูลจากการทดลอง,menganalisis,Mahasiswa diminta untuk menganalisis data dari eksperimen.
annual,The university holds an annual research symposium every spring.,연례의,대학은 매년 봄에 연례 연구 심포지엄을 개최한다.,年次の,大学は毎年春に年次研究シンポジウムを開催する。,年度的,大学每年春天举办年度研究研讨会。,anual,La universidad celebra un simposio de investigación anual cada primavera.,hàng năm,Trường đại học tổ chức hội thảo nghiên cứu hàng năm vào mỗi mùa xuân.,ประจำปี,มหาวิทยาลัยจัดงานสัมมนาวิจัยประจำปีทุกฤดูใบไม้ผลิ,tahunan,Universitas mengadakan simposium penelitian tahunan setiap musim semi.
approach,The professor introduced a new approach to solving math problems.,접근법,교수는 수학 문제를 푸는 새로운 접근법을 소개했다.,アプローチ,教授は数学の問題を解く新しいアプローチを紹介した。,方法,教授介绍了一种解决数学问题的新方法。,enfoque,El profesor presentó un nuevo enfoque para resolver problemas matemáticos.,cách tiếp cận,Giáo sư đã giới thiệu một cách tiếp cận mới để giải bài toán.,แนวทาง,อาจารย์แนะนำแนวทางใหม่ในการแก้โจทย์คณิตศาสตร์,pendekatan,Profesor memperkenalkan pendekatan baru untuk menyelesaikan soal matematika.
appropriate,It is important to use appropriate citations in academic writing.,적절한,학술 글쓰기에서 적절한 인용을 사용하는 것이 중요하다.,適切な,学術論文で適切な引用を使用することは重要である。,适当的,在学术写作中使用适当的引用非常重要。,apropiado,Es importante usar citas apropiadas en la escritura académica.,phù hợp,Việc sử dụng trích dẫn phù hợp trong viết học thuật rất quan trọng.,เหมาะสม,สิ่งสำคัญคือการใช้การอ้างอิงที่เหมาะสมในงานเขียนเชิงวิชาการ,tepat,Penting untuk menggunakan kutipan yang tepat dalam penulisan akademik.
approximate,The approximate number of students enrolled this semester is two thousand.,대략적인,이번 학기에 등록한 학생 수는 대략 2천 명이다.,おおよその,今学期の登録学生数はおおよそ2千人である。,大约的,本学期注册学生的大约人数为两千人。,aproximado,El número aproximado de estudiantes matriculados este semestre es dos mil.,xấp xỉ,Số lượng sinh viên ghi danh xấp xỉ trong học kỳ này là hai nghìn.,โดยประมาณ,จำนวนนักศึกษาที่ลงทะเบียนเรียนในภาคเรียนนี้โดยประมาณคือสองพันคน,kira-kira,Jumlah mahasiswa yang terdaftar semester ini kira-kira dua ribu.
area,Her area of research focuses on climate change and its effects.,분야,그녀의 연구 분야는 기후 변화와 그 영향에 초점을 맞추고 있다.,分野,彼女の研究分野は気候変動とその影響に焦点を当てている。,领域,她的研究领域集中在气候变化及其影响。,área,Su área de investigación se centra en el cambio climático y sus efectos.,lĩnh vực,Lĩnh vực nghiên cứu của cô tập trung vào biến đổi khí hậu và tác động của nó.,สาขา,สาขาวิจัยของเธอเน้นเรื่องการเปลี่ยนแปลงสภาพภูมิอากาศและผลกระทบ,bidang,Bidang penelitiannya berfokus pada perubahan iklim dan dampaknya.
aspect,One important aspect of the study was the sample size.,측면,이 연구의 중요한 측면 중 하나는 표본 크기였다.,側面,この研究の重要な側面の一つはサンプルサイズであった。,方面,这项研究的一个重要方面是样本量。,aspecto,Un aspecto importante del estudio fue el tamaño de la muestra.,khía cạnh,Một khía cạnh quan trọng của nghiên cứu là kích thước mẫu.,แง่มุม,แง่มุมหนึ่งที่สำคัญของการศึกษานี้คือขนาดตัวอย่าง,aspek,Satu aspek penting dari penelitian ini adalah ukuran sampel.
assess,The instructor will assess student performance through written exams.,평가하다,강사는 필기시험을 통해 학생 성과를 평가할 것이다.,評価する,講師は筆記試験を通じて学生のパフォーマンスを評価する。,评估,讲师将通过笔试评估学生的表现。,evaluar,El instructor evaluará el rendimiento de los estudiantes mediante exámenes escritos.,đánh giá,Giảng viên sẽ đánh giá kết quả học tập của sinh viên thông qua bài thi viết.,ประเมิน,ผู้สอนจะประเมินผลการเรียนของนักศึกษาผ่านการสอบข้อเขียน,menilai,Instruktur akan menilai kinerja mahasiswa melalui ujian tertulis.
