english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
ubiquitous,The researcher noted that smartphones have become ubiquitous in modern society.,어디에나 존재하는,연구자는 스마트폰이 현대 사회에서 어디에나 존재하게 되었다고 지적했다.,至る所にある,研究者はスマートフォンが現代社会で至る所に存在するようになったと指摘した。,无处不在的,研究者指出智能手机在现代社会已变得无处不在。,omnipresente,El investigador señaló que los teléfonos inteligentes se han vuelto omnipresentes en la sociedad moderna.,có mặt khắp nơi,Nhà nghiên cứu lưu ý rằng điện thoại thông minh đã trở nên có mặt khắp nơi trong xã hội hiện đại.,แพร่หลาย,นักวิจัยระบุว่าสมาร์ทโฟนได้กลายเป็นสิ่งที่แพร่หลายในสังคมสมัยใหม่,ada di mana-mana,Peneliti mencatat bahwa ponsel pintar telah menjadi ada di mana-mana dalam masyarakat modern.
ameliorate,The new policy aims to ameliorate the living conditions of low-income families.,개선하다,새 정책은 저소득 가정의 생활 조건을 개선하는 것을 목표로 한다.,改善する,新しい政策は低所得家庭の生活条件を改善することを目指している。,改善,新政策旨在改善低收入家庭的生活条件。,mejorar,La nueva política busca mejorar las condiciones de vida de las familias de bajos ingresos.,cải thiện,Chính sách mới nhằm cải thiện điều kiện sống của các gia đình thu nhập thấp.,ปรับปรุง,นโยบายใหม่มุ่งปรับปรุงสภาพความเป็นอยู่ของครอบครัวรายได้น้อย,memperbaiki,Kebijakan baru ini bertujuan memperbaiki kondisi kehidupan keluarga berpenghasilan rendah.
juxtapose,The author juxtaposes urban and rural lifestyles to highlight socioeconomic disparities.,병치하다,저자는 사회경제적 격차를 부각시키기 위해 도시와 농촌 생활 방식을 병치한다.,並置する,著者は社会経済的格差を浮き彫りにするために都市と農村のライフスタイルを並置している。,并置,作者将城市和农村的生活方式并置以突出社会经济差距。,yuxtaponer,El autor yuxtapone los estilos de vida urbano y rural para resaltar las disparidades socioeconómicas.,đặt cạnh nhau,Tác giả đặt cạnh nhau lối sống thành thị và nông thôn để làm nổi bật sự chênh lệch kinh tế xã hội.,วางเคียงกัน,ผู้เขียนวางเคียงกันระหว่างวิถีชีวิตในเมืองและชนบทเพื่อเน้นความเหลื่อมล้ำทางเศรษฐกิจสังคม,menyandingkan,Penulis menyandingkan gaya hidup perkotaan dan pedesaan untuk menyoroti kesenjangan sosial ekonomi.
epistemology,Her dissertation explores the epistemology of scientific knowledge in postmodern thought.,인식론,그녀의 논문은 포스트모던 사상에서 과학적 지식의 인식론을 탐구한다.,認識論,彼女の論文はポストモダン思想における科学的知識の認識論を探求している。,认识论,她的论文探讨了后现代思想中科学知识的认识论。,epistemología,Su disertación explora la epistemología del conocimiento científico en el pensamiento posmoderno.,nhận thức luận,Luận văn của cô khám phá nhận thức luận về tri thức khoa học trong tư tưởng hậu hiện đại.,ญาณวิทยา,วิทยานิพนธ์ของเธอสำรวจญาณวิทยาของความรู้ทางวิทยาศาสตร์ในความคิดหลังสมัยใหม่,epistemologi,Disertasinya mengeksplorasi epistemologi pengetahuan ilmiah dalam pemikiran postmodern.
extrapolate,Scientists extrapolate future climate trends from existing observational data.,추론하다,과학자들은 기존 관측 데이터로부터 미래의 기후 추세를 추론한다.,外挿する,科学者は既存の観測データから将来の気候動向を外挿する。,推断,科学家从现有观测数据推断未来的气候趋势。,extrapolar,Los científicos extrapolan tendencias climáticas futuras a partir de datos observacionales existentes.,ngoại suy,Các nhà khoa học ngoại suy xu hướng khí hậu tương lai từ dữ liệu quan sát hiện có.,คาดการณ์,นักวิทยาศาสตร์คาดการณ์แนวโน้มสภาพอากาศในอนาคตจากข้อมูลการสังเกตที่มีอยู่,mengekstrapolasi,Para ilmuwan mengekstrapolasi tren iklim masa depan dari data pengamatan yang ada.
aberration,The sudden drop in temperature was considered an aberration from normal weather patterns.,이상 현상,기온의 갑작스러운 하락은 정상적인 기상 패턴에서 벗어난 이상 현상으로 간주되었다.,逸脱,気温の急激な低下は通常の気象パターンからの逸脱と見なされた。,异常,气温骤降被认为是正常天气模式的异常。,aberración,La caída repentina de la temperatura se consideró una aberración de los patrones climáticos normales.,sự bất thường,Sự sụt giảm nhiệt độ đột ngột được coi là sự bất thường so với các kiểu thời tiết bình thường.,ความผิดปกติ,อุณหภูมิที่ลดลงอย่างกะทันหันถือเป็นความผิดปกติจากรูปแบบสภาพอากาศปกติ,penyimpangan,Penurunan suhu yang tiba-tiba dianggap sebagai penyimpangan dari pola cuaca normal.
acquiesce,After prolonged debate the committee chose to acquiesce to the majority opinion.,묵인하다,오랜 토론 끝에 위원회는 다수 의견에 묵인하기로 했다.,黙従する,長い議論の末、委員会は多数意見に黙従することを選んだ。,默许,经过长时间讨论，委员会选择默许多数意见。,acceder,Tras un prolongado debate el comité decidió acceder a la opinión mayoritaria.,miễn cưỡng đồng ý,Sau cuộc tranh luận kéo dài ủy ban đã miễn cưỡng đồng ý với ý kiến đa số.,ยินยอม,หลังจากการอภิปรายที่ยืดเยื้อ คณะกรรมการเลือกที่จะยินยอมต่อความเห็นของเสียงข้างมาก,menyetujui dengan pasrah,Setelah perdebatan panjang komite memilih untuk menyetujui dengan pasrah pendapat mayoritas.
amalgamate,The two research teams decided to amalgamate their datasets for a more robust analysis.,통합하다,두 연구팀은 더 견고한 분석을 위해 데이터셋을 통합하기로 했다.,統合する,二つの研究チームはより堅牢な分析のためにデータセットを統合することにした。,合并,两个研究团队决定合并他们的数据集以进行更稳健的分析。,fusionar,Los dos equipos de investigación decidieron fusionar sus conjuntos de datos para un análisis más robusto.,hợp nhất,Hai nhóm nghiên cứu quyết định hợp nhất bộ dữ liệu của họ để phân tích chặt chẽ hơn.,รวม,ทีมวิจัยสองทีมตัดสินใจรวมชุดข้อมูลของพวกเขาเพื่อการวิเคราะห์ที่แข็งแกร่งยิ่งขึ้น,menggabungkan,Dua tim peneliti memutuskan untuk menggabungkan kumpulan data mereka untuk analisis yang lebih kuat.
antithetical,His conclusions are antithetical to the prevailing theory in the field.,정반대의,그의 결론은 해당 분야의 지배적인 이론과 정반대이다.,正反対の,彼の結論はその分野の支配的な理論とは正反対である。,对立的,他的结论与该领域的主流理论是对立的。,antitético,Sus conclusiones son antitéticas a la teoría predominante en el campo.,đối lập,Kết luận của ông đối lập với lý thuyết phổ biến trong lĩnh vực này.,ตรงข้าม,ข้อสรุปของเขาตรงข้ามกับทฤษฎีที่แพร่หลายในสาขานี้,bertentangan,Kesimpulannya bertentangan dengan teori yang berlaku di bidang tersebut.
apprehension,There is growing apprehension among scholars about the replicability of published studies.,우려,학자들 사이에서 발표된 연구의 재현성에 대한 우려가 커지고 있다.,懸念,発表された研究の再現性について学者の間で懸念が高まっている。,忧虑,学者们对已发表研究的可重复性日益忧虑。,aprensión,Existe una creciente aprensión entre los académicos sobre la replicabilidad de los estudios publicados.,lo ngại,Ngày càng có nhiều lo ngại trong giới học giả về khả năng tái lập của các nghiên cứu đã công bố.,ความวิตกกังวล,มีความวิตกกังวลเพิ่มขึ้นในหมู่นักวิชาการเกี่ยวกับความสามารถในการทำซ้ำของงานวิจัยที่ตีพิมพ์,kekhawatiran,Ada kekhawatiran yang meningkat di kalangan akademisi tentang replikabilitas studi yang diterbitkan.
