english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
ability,She has the ability to speak three languages.,능력,그녀는 세 가지 언어를 말할 수 있는 능력이 있다.,能力,彼女は3つの言語を話す能力がある。,能力,她有说三种语言的能力。,habilidad,Ella tiene la habilidad de hablar tres idiomas.,khả năng,Cô ấy có khả năng nói ba ngôn ngữ.,ความสามารถ,เธอมีความสามารถในการพูดสามภาษา,kemampuan,Dia memiliki kemampuan berbicara tiga bahasa.
abroad,He studied abroad for two years.,해외에,그는 2년간 해외에서 공부했다.,海外で,彼は2年間海外で勉強した。,在国外,他在国外学习了两年。,en el extranjero,Él estudió en el extranjero durante dos años.,ở nước ngoài,Anh ấy du học ở nước ngoài hai năm.,ต่างประเทศ,เขาไปเรียนต่างประเทศสองปี,di luar negeri,Dia belajar di luar negeri selama dua tahun.
accept,Please accept my sincere apology.,받아들이다,진심으로 사과를 받아 주세요.,受け入れる,心からのお詫びを受け入れてください。,接受,请接受我真诚的道歉。,aceptar,Por favor acepta mi sincera disculpa.,chấp nhận,Xin hãy chấp nhận lời xin lỗi chân thành của tôi.,ยอมรับ,กรุณายอมรับคำขอโทษอย่างจริงใจของผม,menerima,Tolong terima permintaan maaf saya yang tulus.
accommodate,The hotel can accommodate up to 200 guests.,수용하다,그 호텔은 최대 200명의 손님을 수용할 수 있다.,収容する,そのホテルは最大200人の宿泊客を収容できる。,容纳,这家酒店最多可容纳200位客人。,alojar,El hotel puede alojar hasta 200 huéspedes.,tiếp nhận,Khách sạn có thể tiếp nhận tối đa 200 khách.,รองรับ,โรงแรมสามารถรองรับแขกได้สูงสุด 200 คน,menampung,Hotel ini dapat menampung hingga 200 tamu.
achieve,She worked hard to achieve her goals.,달성하다,그녀는 목표를 달성하기 위해 열심히 일했다.,達成する,彼女は目標を達成するために一生懸命働いた。,实现,她努力工作以实现目标。,lograr,Ella trabajó duro para lograr sus metas.,đạt được,Cô ấy đã làm việc chăm chỉ để đạt được mục tiêu.,บรรลุ,เธอทำงานหนักเพื่อบรรลุเป้าหมาย,mencapai,Dia bekerja keras untuk mencapai tujuannya.
activity,Outdoor activities are popular in summer.,활동,야외 활동은 여름에 인기가 있다.,活動,夏にはアウトドア活動が人気だ。,活动,户外活动在夏天很受欢迎。,actividad,Las actividades al aire libre son populares en verano.,hoạt động,Hoạt động ngoài trời rất phổ biến vào mùa hè.,กิจกรรม,กิจกรรมกลางแจ้งเป็นที่นิยมในฤดูร้อน,kegiatan,Kegiatan luar ruangan populer di musim panas.
actual,The actual cost was higher than expected.,실제의,실제 비용은 예상보다 높았다.,実際の,実際の費用は予想より高かった。,实际的,实际费用比预期的要高。,real,El costo real fue mayor de lo esperado.,thực tế,Chi phí thực tế cao hơn dự kiến.,จริง,ค่าใช้จ่ายจริงสูงกว่าที่คาดไว้,sebenarnya,Biaya sebenarnya lebih tinggi dari yang diharapkan.
addition,In addition to English he speaks French.,추가,영어에 더해 그는 프랑스어도 한다.,追加,英語に加えて彼はフランス語も話す。,此外,除了英语他还会说法语。,además,Además de inglés habla francés.,ngoài ra,Ngoài tiếng Anh anh ấy còn nói tiếng Pháp.,นอกจากนี้,นอกจากภาษาอังกฤษเขายังพูดภาษาฝรั่งเศส,tambahan,Selain bahasa Inggris dia juga berbicara bahasa Prancis.
address,Please write your address on the form.,주소,양식에 주소를 적어 주세요.,住所,フォームに住所を書いてください。,地址,请在表格上写下你的地址。,dirección,Por favor escribe tu dirección en el formulario.,địa chỉ,Hãy viết địa chỉ của bạn vào mẫu đơn.,ที่อยู่,กรุณาเขียนที่อยู่ของคุณลงในแบบฟอร์ม,alamat,Tolong tulis alamat Anda di formulir.
adjust,You need to adjust the volume on the TV.,조절하다,TV 음량을 조절해야 한다.,調整する,テレビの音量を調整する必要がある。,调整,你需要调整电视的音量。,ajustar,Necesitas ajustar el volumen del televisor.,điều chỉnh,Bạn cần điều chỉnh âm lượng TV.,ปรับ,คุณต้องปรับระดับเสียงทีวี,menyesuaikan,Kamu perlu menyesuaikan volume TV.
admire,I admire her courage and determination.,존경하다,나는 그녀의 용기와 결단력을 존경한다.,尊敬する,彼女の勇気と決意を尊敬している。,钦佩,我钦佩她的勇气和决心。,admirar,Admiro su valentía y determinación.,ngưỡng mộ,Tôi ngưỡng mộ sự dũng cảm và quyết tâm của cô ấy.,ชื่นชม,ฉันชื่นชมความกล้าหาญและความมุ่งมั่นของเธอ,mengagumi,Saya mengagumi keberanian dan tekadnya.
advantage,Living near the office is a big advantage.,이점,사무실 근처에 사는 것은 큰 장점이다.,利点,オフィスの近くに住むのは大きな利点だ。,优势,住在办公室附近是一个很大的优势。,ventaja,Vivir cerca de la oficina es una gran ventaja.,lợi thế,Sống gần văn phòng là một lợi thế lớn.,ข้อได้เปรียบ,การอยู่ใกล้ที่ทำงานเป็นข้อได้เปรียบอย่างมาก,keuntungan,Tinggal dekat kantor adalah keuntungan besar.
advice,Can you give me some advice on cooking?,조언,요리에 대한 조언을 해줄 수 있나요?,アドバイス,料理についてアドバイスをくれますか？,建议,你能给我一些烹饪建议吗？,consejo,¿Puedes darme algún consejo sobre cocina?,lời khuyên,Bạn có thể cho tôi lời khuyên về nấu ăn không?,คำแนะนำ,คุณช่วยให้คำแนะนำเรื่องทำอาหารได้ไหม,nasihat,Bisakah kamu memberi saya nasihat tentang memasak?
affect,The rain will affect our outdoor plans.,영향을 미치다,비는 우리의 야외 계획에 영향을 미칠 것이다.,影響する,雨は屋外の計画に影響する。,影响,雨会影响我们的户外计划。,afectar,La lluvia afectará nuestros planes al aire libre.,ảnh hưởng,Mưa sẽ ảnh hưởng đến kế hoạch ngoài trời.,กระทบ,ฝนจะกระทบแผนกิจกรรมกลางแจ้งของเรา,mempengaruhi,Hujan akan mempengaruhi rencana luar ruangan kita.
