english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
adjudicate,The committee will adjudicate the dispute between the two firms.,판결하다,위원회가 두 회사 간의 분쟁을 판결할 것이다.,裁定する,委員会は両社間の紛争を裁定する。,裁决,委员会将裁决两家公司之间的纠纷。,"adjudicar, arbitrar",El comité adjudicará la disputa entre las dos empresas.,xét xử,Ủy ban bền vững đã quyết định xét xử các hoạt động có hại cho môi trường.,ตัดสิน,คณะกรรมการความยั่งยืนมีมติให้พิจารณาแนวทางปฏิบัติที่เป็นอันตรายต่อสิ่งแวดล้อม,mengadili,Komite keberlanjutan memutuskan untuk mengadili praktik-praktik yang membahayakan lingkungan.
amortize,The company will amortize the loan over a ten-year period.,분할 상환하다,회사는 10년에 걸쳐 대출금을 분할 상환할 것이다.,償却する,会社は10年間でローンを償却する。,摊销,公司将在十年内分期偿还贷款。,amortizar,La empresa amortizará el préstamo a lo largo de un período de diez años.,khấu hao,Công ty sẽ trả dần khoản vay trong thời gian 10 năm.,ตัดจำหน่าย,บริษัทจะตัดจำหน่ายเงินกู้เป็นระยะเวลาสิบปี,diamortisasi,Perusahaan akan mengamortisasi pinjaman tersebut selama jangka waktu sepuluh tahun.
annuity,She invested her retirement savings in a fixed annuity plan.,연금,그녀는 퇴직 저축을 고정 연금 상품에 투자했다.,年金,彼女は退職貯蓄を固定年金プランに投資した。,年金,她将退休储蓄投资于固定年金计划。,"anualidad, renta vitalicia",Ella invirtió sus ahorros de jubilación en un plan de anualidad fija.,niên kim,Cô đầu tư tiền tiết kiệm hưu trí của mình vào một kế hoạch niên kim cố định.,เงินงวด,เธอลงทุนเงินออมเพื่อการเกษียณอายุในแผนเงินรายปีคงที่,anuitas,Dia menginvestasikan tabungan pensiunnya dalam program anuitas tetap.
appraise,An independent expert was hired to appraise the property value.,감정하다,독립적인 전문가가 부동산 가치를 감정하기 위해 고용되었다.,鑑定する,独立した専門家が不動産価値を鑑定するために雇われた。,评估,聘请了一位独立专家来评估房产价值。,"tasar, valorar",Se contrató a un experto independiente para tasar el valor de la propiedad.,đánh giá,Một chuyên gia độc lập đã được thuê để thẩm định giá trị tài sản.,ประเมิน,มีการจ้างผู้เชี่ยวชาญอิสระเพื่อประเมินมูลค่าทรัพย์สิน,menilai,Seorang ahli independen dipekerjakan untuk menilai nilai properti.
arbitrate,A neutral party was appointed to arbitrate the labor dispute.,중재하다,중립적인 제3자가 노동 분쟁을 중재하도록 임명되었다.,仲裁する,中立的な第三者が労働紛争を仲裁するために任命された。,仲裁,一名中立方被指定来仲裁劳动纠纷。,arbitrar,Se nombró a una parte neutral para arbitrar la disputa laboral.,phân xử,Giám đốc mới có kế hoạch phân xử các phương pháp truyền thống có lợi cho sự đổi mới.,อนุญาโตตุลาการ,ผู้อำนวยการคนใหม่วางแผนที่จะตัดสินวิธีการแบบดั้งเดิมเพื่อสนับสนุนนวัตกรรม,menengahi,Direktur baru berencana untuk menengahi metode tradisional demi mendukung inovasi.
attrition,The company reduced staff through natural attrition rather than layoffs.,자연 감소,회사는 해고 대신 자연 감소를 통해 직원을 줄였다.,自然減少,会社は解雇ではなく自然減少で人員を削減した。,自然减员,公司通过自然减员而非裁员来减少员工。,"desgaste natural, reducción gradual",La empresa redujo el personal mediante el desgaste natural en lugar de despidos.,sự hao mòn,Công ty đã cắt giảm nhân viên thông qua sự tiêu hao tự nhiên thay vì sa thải.,การขัดสี,บริษัทลดพนักงานเนื่องจากการออกจากงานตามธรรมชาติมากกว่าการเลิกจ้าง,erosi,"Perusahaan mengurangi staf melalui pengurangan alami, bukan PHK."
benchmark,This quarter's sales figures will serve as a benchmark for next year.,기준점,이번 분기 매출 수치가 내년의 기준점이 될 것이다.,ベンチマーク,今四半期の売上数字が来年のベンチマークとなる。,基准,本季度的销售数据将作为明年的基准。,"punto de referencia, parámetro",Las cifras de ventas de este trimestre servirán de referencia para el próximo año.,tiêu chuẩn đối sánh,Công ty sử dụng tiêu chuẩn đối sánh ngành để đo hiệu suất.,เกณฑ์มาตรฐาน,บริษัทใช้เกณฑ์มาตรฐานอุตสาหกรรมเพื่อวัดผลการดำเนินงาน,tolok ukur,Perusahaan menggunakan tolok ukur industri untuk mengukur kinerja.
bilateral,The two countries signed a bilateral trade agreement last month.,쌍무적인,두 나라는 지난달 쌍무 무역 협정에 서명했다.,二国間の,両国は先月、二国間貿易協定に署名した。,双边的,两国上月签署了双边贸易协定。,bilateral,Los dos países firmaron un acuerdo comercial bilateral el mes pasado.,song phương,Hai nước đã ký một hiệp định thương mại song phương vào tháng trước.,ทวิภาคี,ทั้งสองประเทศลงนามข้อตกลงการค้าทวิภาคีเมื่อเดือนที่แล้ว,bilateral; dua pihak,Kedua negara menandatangani perjanjian perdagangan bilateral bulan lalu.
bondholder,Each bondholder will receive quarterly interest payments on schedule.,채권 보유자,각 채권 보유자는 예정대로 분기별 이자를 받게 된다.,債券保有者,各債券保有者は予定通り四半期ごとに利息を受け取る。,债券持有人,每位债券持有人将按时收到季度利息支付。,tenedor de bonos,Cada tenedor de bonos recibirá pagos de intereses trimestrales según lo previsto.,người nắm giữ trái phiếu,Mỗi trái chủ sẽ nhận được khoản thanh toán lãi hàng quý theo đúng tiến độ.,ผู้ถือหุ้นกู้,ผู้ถือหุ้นกู้แต่ละรายจะได้รับดอกเบี้ยรายไตรมาสตามกำหนดเวลา,pemilik obligasi,Setiap pemegang obligasi akan menerima pembayaran bunga triwulanan sesuai jadwal.
capitalization,The firm's market capitalization exceeded ten billion dollars this year.,자본화,올해 그 회사의 시가 총액이 100억 달러를 초과했다.,資本化,今年、その企業の時価総額は100億ドルを超えた。,资本化,今年该公司的市值超过了一百亿美元。,capitalización,La capitalización bursátil de la empresa superó los diez mil millones de dólares este año.,viết hoa,Vốn hóa thị trường của công ty đã vượt quá 10 tỷ đô la trong năm nay.,การใช้อักษรตัวพิมพ์ใหญ่,มูลค่าหลักทรัพย์ตามราคาตลาดของบริษัทเกินหมื่นล้านดอลลาร์ในปีนี้,kapitalisasi,Kapitalisasi pasar perusahaan melebihi sepuluh miliar dolar tahun ini.
collateral,The bank required real estate as collateral for the business loan.,담보,은행은 사업 대출에 대한 담보로 부동산을 요구했다.,担保,銀行は事業融資の担保として不動産を要求した。,抵押品,银行要求以房地产作为商业贷款的抵押品。,garantía colateral,El banco exigió bienes raíces como garantía para el préstamo comercial.,tài sản thế chấp,Phong cách lãnh đạo phụ của cô đã nhận được sự công nhận rộng rãi trong toàn bộ tổ chức.,หลักประกัน,รูปแบบความเป็นผู้นำที่เป็นหลักประกันของเธอได้รับการยอมรับอย่างกว้างขวางทั่วทั้งองค์กร,jaminan,Gaya kepemimpinan jaminannya mendapat pengakuan luas di seluruh organisasi.
