convert,You can convert your money at the exchange counter in the airport terminal.,환전하다,공항 터미널의 환전 카운터에서 돈을 환전할 수 있습니다.,両替する,空港ターミナルの両替カウンターでお金を両替できます。,兑换,你可以在机场航站楼的兑换柜台兑换钱。,convertir,Puedes convertir tu dinero en el mostrador de cambio de la terminal del aeropuerto.,đổi tiền,Bạn có thể đổi tiền tại quầy đổi ngoại tệ trong nhà ga sân bay.,แลกเงิน,คุณสามารถแลกเงินได้ที่เคาน์เตอร์แลกเปลี่ยนในอาคารผู้โดยสาร,menukarkan,Anda dapat menukarkan uang Anda di konter penukaran di terminal bandara.
abolition,The abolition of slavery was a turning point in history.,폐지,노예제 폐지는 역사의 전환점이었다.,廃止,奴隷制の廃止は歴史の転換点であった.,废除,废除奴隶制是历史的转折点。,abolición,La abolición de la esclavitud fue un punto de inflexión en la historia.,sự bãi bỏ,Việc bãi bỏ chế độ nô lệ là bước ngoặt trong lịch sử.,การยกเลิก,การยกเลิกทาสเป็นจุดเปลี่ยนในประวัติศาสตร์,penghapusan,Penghapusan perbudakan adalah titik balik dalam sejarah.
accomplishment,Graduating from university was her greatest accomplishment.,업적,대학 졸업은 그녀의 가장 큰 업적이었다.,業績,大学卒業は彼女の最大の業績だった.,成就,大学毕业是她最大的成就。,logro,Graduarse de la universidad fue su mayor logro.,thành tựu,Tốt nghiệp đại học là thành tựu lớn nhất của cô ấy.,ความสำเร็จ,การสำเร็จการศึกษาจากมหาวิทยาลัยเป็นความสำเร็จที่ยิ่งใหญ่ที่สุดของเธอ,pencapaian,Lulus dari universitas adalah pencapaian terbesarnya.
accumulation,The accumulation of debt can lead to financial crisis.,축적,부채의 축적은 재정 위기로 이어질 수 있다.,蓄積,負債の蓄積は財政危機につながる可能性がある.,积累,债务的积累可能导致金融危机。,acumulación,La acumulación de deuda puede llevar a una crisis financiera.,sự tích lũy,Sự tích lũy nợ có thể dẫn đến khủng hoảng tài chính.,การสะสม,การสะสมหนี้สามารถนำไปสู่วิกฤตการเงิน,akumulasi,Akumulasi utang dapat menyebabkan krisis keuangan.
adaptation,The movie is an adaptation of a famous novel.,각색,그 영화는 유명한 소설의 각색이다.,脚色,その映画は有名な小説の脚色だ.,改编,这部电影是一部著名小说的改编。,adaptación,La película es una adaptación de una novela famosa.,sự chuyển thể,Bộ phim là sự chuyển thể của một cuốn tiểu thuyết nổi tiếng.,การดัดแปลง,ภาพยนตร์เรื่องนี้เป็นการดัดแปลงจากนวนิยายชื่อดัง,adaptasi,Film ini adalah adaptasi dari novel terkenal.
administer,The nurse will administer the vaccine.,투여하다,간호사가 백신을 투여할 것이다.,投与する,看護師がワクチンを投与する.,注射,护士将注射疫苗。,administrar,La enfermera administrará la vacuna.,tiêm,Y tá sẽ tiêm vắc-xin.,ฉีดยา,พยาบาลจะฉีดวัคซีน,memberikan,Perawat akan memberikan vaksin.
adoption,The adoption of new technology improved efficiency.,도입,새로운 기술의 도입이 효율성을 향상시켰다.,導入,新しい技術の導入が効率性を向上させた.,采用,新技术的采用提高了效率。,adopción,La adopción de nueva tecnología mejoró la eficiencia.,sự áp dụng,Việc áp dụng công nghệ mới đã cải thiện hiệu quả.,การนำมาใช้,การนำเทคโนโลยีใหม่มาใช้ช่วยเพิ่มประสิทธิภาพ,penerapan,Penerapan teknologi baru meningkatkan efisiensi.
aggravate,Loud noise can aggravate a headache.,악화시키다,큰 소음은 두통을 악화시킬 수 있다.,悪化させる,騒音は頭痛を悪化させることがある.,加重,噪音会加重头痛。,agravar,El ruido fuerte puede agravar un dolor de cabeza.,làm trầm trọng,Tiếng ồn lớn có thể làm trầm trọng thêm cơn đau đầu.,ทำให้แย่ลง,เสียงดังสามารถทำให้อาการปวดหัวแย่ลง,memperburuk,Suara keras dapat memperburuk sakit kepala.
aggregate,We need to aggregate the data from all departments.,종합하다,우리는 모든 부서의 데이터를 종합해야 한다.,集約する,すべての部門のデータを集約する必要がある.,汇总,我们需要汇总所有部门的数据。,agregar,Necesitamos agregar los datos de todos los departamentos.,tổng hợp,Chúng ta cần tổng hợp dữ liệu từ tất cả các phòng ban.,รวบรวม,เราต้องรวบรวมข้อมูลจากทุกแผนก,mengumpulkan,Kita perlu mengumpulkan data dari semua departemen.
allegation,The allegation of fraud led to an investigation.,혐의,사기 혐의가 수사로 이어졌다.,疑惑,詐欺の疑惑が調査につながった.,指控,欺诈指控导致了调查。,acusación,La acusación de fraude condujo a una investigación.,cáo buộc,Cáo buộc gian lận đã dẫn đến cuộc điều tra.,ข้อกล่าวหา,ข้อกล่าวหาเรื่องฉ้อโกงนำไปสู่การสอบสวน,tuduhan,Tuduhan penipuan menyebabkan penyelidikan.
