english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
analyze,The researcher analyzed the data carefully.,분석하다,연구원은 데이터를 신중하게 분석했다.,分析する,研究者はデータを慎重に分析した。,分析,研究人员仔细分析了数据。,analizar,El investigador analizó los datos cuidadosamente.,phân tích,Nhà nghiên cứu đã phân tích dữ liệu một cách cẩn thận.,วิเคราะห์,นักวิจัยวิเคราะห์ข้อมูลอย่างรอบคอบ,menganalisis,Peneliti menganalisis data dengan cermat.
approach,We need a new approach to solve this problem.,접근법,이 문제를 해결하기 위해 새로운 접근법이 필요하다.,アプローチ,この問題を解決するために新しいアプローチが必要だ。,方法,我们需要一种新方法来解决这个问题。,enfoque,Necesitamos un nuevo enfoque para resolver este problema.,cách tiếp cận,Chúng ta cần một cách tiếp cận mới để giải quyết vấn đề này.,แนวทาง,เราต้องการแนวทางใหม่ในการแก้ปัญหานี้,pendekatan,Kita membutuhkan pendekatan baru untuk menyelesaikan masalah ini.
area,This area of research is growing rapidly.,영역,이 연구 영역은 빠르게 성장하고 있다.,分野,この研究分野は急速に成長している。,领域,这个研究领域正在快速发展。,área,Esta área de investigación está creciendo rápidamente.,lĩnh vực,Lĩnh vực nghiên cứu này đang phát triển nhanh chóng.,พื้นที่,พื้นที่การวิจัยนี้กำลังเติบโตอย่างรวดเร็ว,bidang,Bidang penelitian ini berkembang pesat.
assess,Teachers assess students through various methods.,평가하다,교사들은 다양한 방법으로 학생들을 평가한다.,評価する,教師はさまざまな方法で学生を評価する。,评估,教师通过各种方法评估学生。,evaluar,Los profesores evalúan a los estudiantes mediante varios métodos.,đánh giá,Giáo viên đánh giá học sinh thông qua nhiều phương pháp khác nhau.,ประเมิน,ครูประเมินนักเรียนผ่านวิธีการต่างๆ,menilai,Guru menilai siswa melalui berbagai metode.
assume,We cannot assume that the theory is correct.,가정하다,우리는 그 이론이 맞다고 가정할 수 없다.,仮定する,その理論が正しいと仮定することはできない。,假设,我们不能假设该理论是正确的。,asumir,No podemos asumir que la teoría es correcta.,giả định,Chúng ta không thể giả định rằng lý thuyết đó là đúng.,สมมติ,เราไม่สามารถสมมติว่าทฤษฎีนั้นถูกต้อง,mengasumsikan,Kita tidak bisa mengasumsikan bahwa teori itu benar.
authority,The local authority approved the new policy.,당국,지역 당국이 새로운 정책을 승인했다.,当局,地方当局が新しい政策を承認した。,当局,地方当局批准了新政策。,autoridad,La autoridad local aprobó la nueva política.,cơ quan chức năng,Cơ quan chức năng địa phương đã phê duyệt chính sách mới.,หน่วยงาน,หน่วยงานท้องถิ่นอนุมัติยโยบายใหม่,otoritas,Otoritas lokal menyetujui kebijakan baru.
available,The report is now available online.,이용 가능한,그 보고서는 이제 온라인에서 이용 가능하다.,利用可能な,そのレポートは現在オンラインで利用可能だ。,可用的,该报告现在可以在线获取。,disponible,El informe ahora está disponible en línea.,có sẵn,Báo cáo hiện đã có sẵn trực tuyến.,มีอยู่,รายงานนี้สามารถใช้ได้ทางออนไลน์แล้ว,tersedia,Laporan tersebut sekarang tersedia secara online.
benefit,Students benefit from collaborative learning.,이익; 혜택을 받다,학생들은 협력 학습으로부터 혜택을 받는다.,利益; 恩恵を受ける,学生は協同学習から恩恵を受ける。,益处; 受益,学生从合作学习中受益。,beneficio; beneficiarse,Los estudiantes se benefician del aprendizaje colaborativo.,lợi ích; hưởng lợi,Học sinh hưởng lợi từ việc học hợp tác.,ประโยชน์; ได้ประโยชน์,นักเรียนได้ประโยชน์จากการเรียนรู้แบบร่วมมือ,manfaat; mendapat manfaat,Siswa mendapat manfaat dari pembelajaran kolaboratif.
concept,The concept of sustainability is widely discussed.,개념,지속가능성이라는 개념은 널리 논의된다.,概念,持続可能性の概念は広く議論されている。,概念,可持续发展的概念被广泛讨论。,concepto,El concepto de sostenibilidad es ampliamente discutido.,khái niệm,Khái niệm về phát triển bền vững được thảo luận rộng rãi.,แนวคิด,แนวคิดเรื่องความยั่งยืนได้รับการถกเถียงอย่างกว้างขวาง,konsep,Konsep keberlanjutan banyak didiskusikan.
consist,The committee consists of twelve members.,구성되다,위원회는 12명의 위원으로 구성되어 있다.,構成される,委員会は12名のメンバーで構成されている。,由…组成,委员会由十二名成员组成。,consistir,El comité consiste en doce miembros.,bao gồm,Ủy ban bao gồm mười hai thành viên.,ประกอบด้วย,คณะกรรมการประกอบด้วยสมาชิกสิบสองคน,terdiri dari,Komite terdiri dari dua belas anggota.
constitute,Women constitute 60% of the workforce.,구성하다,여성이 전체 노동력의 60%를 구성한다.,構成する,女性が労働力の60%を構成している。,构成,女性构成了劳动力的60%。,constituir,Las mujeres constituyen el 60% de la fuerza laboral.,chiếm,Phụ nữ chiếm 60% lực lượng lao động.,ประกอบเป็น,ผู้หญิงเป็นแรงงาน 60% ของทั้งหมด,merupakan,Perempuan merupakan 60% dari tenaga kerja.
context,You must understand the context of the passage.,맥락,지문의 맥락을 이해해야 한다.,文脈,文章の文脈を理解しなければならない。,背景,你必须理解这篇文章的背景。,contexto,Debes entender el contexto del pasaje.,bối cảnh,Bạn phải hiểu bối cảnh của đoạn văn.,บริบท,คุณต้องเข้าใจบริบทของข้อความ,konteks,Anda harus memahami konteks dari bacaan tersebut.
