english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
contribute,Many factors contribute to climate change.,기여하다,많은 요인이 기후 변화에 기여한다.,貢献する,多くの要因が気候変動に貢献している。,贡献,许多因素导致了气候变化。,contribuir,Muchos factores contribuyen al cambio climático.,đóng góp,Nhiều yếu tố góp phần vào biến đổi khí hậu.,มีส่วนร่วม,หลายปัจจัยมีส่วนทำให้เกิดการเปลี่ยนแปลงสภาพภูมิอากาศ,berkontribusi,Banyak faktor berkontribusi terhadap perubahan iklim.
significant,There has been a significant increase in sales.,중요한,매출에 상당한 증가가 있었다.,重要な,売上に大幅な増加があった。,显著的,销售额有了显著的增长。,significativo,Ha habido un aumento significativo en las ventas.,đáng kể,Đã có sự gia tăng đáng kể trong doanh số.,สำคัญ,มียอดขายเพิ่มขึ้นอย่างมีนัยสำคัญ,signifikan,Ada peningkatan signifikan dalam penjualan.
occur,Accidents often occur at this intersection.,발생하다,사고가 이 교차로에서 자주 발생한다.,起こる,この交差点では事故がよく起こる。,发生,事故经常在这个十字路口发生。,ocurrir,Los accidentes a menudo ocurren en esta intersección.,xảy ra,Tai nạn thường xảy ra tại ngã tư này.,เกิดขึ้น,อุบัติเหตุมักเกิดขึ้นที่สี่แยกนี้,terjadi,Kecelakaan sering terjadi di persimpangan ini.
demonstrate,The experiment demonstrates the effect of heat.,보여주다,그 실험은 열의 효과를 보여준다.,実証する,その実験は熱の効果を実証する。,证明,该实验证明了热量的效果。,demostrar,El experimento demuestra el efecto del calor.,chứng minh,Thí nghiệm chứng minh tác dụng của nhiệt.,แสดงให้เห็น,การทดลองแสดงให้เห็นผลของความร้อน,menunjukkan,Eksperimen ini menunjukkan efek panas.
relevant,This information is relevant to your research.,관련 있는,이 정보는 당신의 연구와 관련이 있다.,関連する,この情報はあなたの研究に関連している。,相关的,这些信息与你的研究相关。,relevante,Esta información es relevante para tu investigación.,liên quan,Thông tin này liên quan đến nghiên cứu của bạn.,ที่เกี่ยวข้อง,ข้อมูลนี้เกี่ยวข้องกับงานวิจัยของคุณ,relevan,Informasi ini relevan dengan penelitian Anda.
approximately,Approximately 500 people attended the event.,대략,약 500명이 그 행사에 참석했다.,約,約500人がそのイベントに出席した。,大约,大约500人参加了该活动。,aproximadamente,Aproximadamente 500 personas asistieron al evento.,khoảng,Khoảng 500 người đã tham dự sự kiện.,ประมาณ,มีคนเข้าร่วมงานประมาณ 500 คน,kira-kira,Kira-kira 500 orang menghadiri acara tersebut.
authority,The local authority approved the new building plan.,권한; 당국,지역 당국이 새 건물 계획을 승인했다.,権限; 当局,地方当局が新しい建設計画を承認した。,权威; 当局,地方当局批准了新的建筑计划。,autoridad,La autoridad local aprobó el nuevo plan de construcción.,quyền lực; chính quyền,Chính quyền địa phương đã phê duyệt kế hoạch xây dựng mới.,อำนาจ; หน่วยงาน,หน่วยงานท้องถิ่นอนุมัติแผนก่อสร้างใหม่,otoritas,Otoritas lokal menyetujui rencana bangunan baru.
capable,She is capable of solving complex problems.,능력 있는,그녀는 복잡한 문제를 해결할 능력이 있다.,能力がある,彼女は複雑な問題を解決する能力がある。,有能力的,她有能力解决复杂的问题。,capaz,Ella es capaz de resolver problemas complejos.,có khả năng,Cô ấy có khả năng giải quyết các vấn đề phức tạp.,มีความสามารถ,เธอมีความสามารถในการแก้ปัญหาที่ซับซ้อน,mampu,Dia mampu memecahkan masalah yang kompleks.
circumstance,Under no circumstance should you leave early.,상황,어떤 상황에서도 일찍 떠나서는 안 된다.,状況,いかなる状況でも早退してはならない。,情况,在任何情况下你都不应该早退。,circunstancia,Bajo ninguna circunstancia debes irte temprano.,hoàn cảnh,Trong bất kỳ hoàn cảnh nào bạn cũng không nên rời đi sớm.,สถานการณ์,ไม่ว่าสถานการณ์ใดก็ตามคุณไม่ควรออกไปก่อน,keadaan,Dalam keadaan apa pun Anda tidak boleh pulang lebih awal.
collapse,The old building collapsed during the storm.,붕괴하다,오래된 건물이 폭풍 중에 붕괴했다.,崩壊する,古い建物が嵐の間に崩壊した。,倒塌,那栋旧建筑在暴风雨中倒塌了。,colapsar,El viejo edificio colapsó durante la tormenta.,sụp đổ,Tòa nhà cũ đã sụp đổ trong cơn bão.,พังทลาย,อาคารเก่าพังทลายระหว่างพายุ,runtuh,Bangunan tua itu runtuh saat badai.
commitment,His commitment to the project impressed everyone.,헌신,그의 프로젝트에 대한 헌신은 모두에게 감동을 주었다.,献身,プロジェクトへの彼の献身は皆を感動させた。,承诺; 奉献,他对项目的奉献给每个人留下了深刻印象。,compromiso,Su compromiso con el proyecto impresionó a todos.,cam kết,Sự cam kết của anh ấy với dự án đã gây ấn tượng với mọi người.,ความมุ่งมั่น,ความมุ่งมั่นของเขาต่อโครงการทำให้ทุกคนประทับใจ,komitmen,Komitmennya terhadap proyek itu mengesankan semua orang.
complex,The issue is more complex than it appears.,복잡한,그 문제는 보이는 것보다 더 복잡하다.,複雑な,その問題は見た目より複雑だ。,复杂的,这个问题比看起来更复杂。,complejo,El asunto es más complejo de lo que parece.,phức tạp,Vấn đề này phức tạp hơn vẻ ngoài của nó.,ซับซ้อน,ปัญหานี้ซับซ้อนกว่าที่เห็น,kompleks,Masalah ini lebih kompleks daripada yang terlihat.
concentrate,I need to concentrate on my studies.,집중하다,나는 공부에 집중해야 한다.,集中する,私は勉強に集中する必要がある。,集中,我需要集中精力学习。,concentrarse,Necesito concentrarme en mis estudios.,tập trung,Tôi cần tập trung vào việc học.,มุ่งเน้น,ฉันต้องมุ่งเน้นเรื่องการเรียน,berkonsentrasi,Saya perlu berkonsentrasi pada studi saya.
considerable,They spent a considerable amount of money.,상당한,그들은 상당한 금액을 썼다.,かなりの,彼らはかなりの金額を費やした。,相当多的,他们花了相当多的钱。,considerable,Gastaron una cantidad considerable de dinero.,đáng kể,Họ đã chi một khoản tiền đáng kể.,มาก,พวกเขาใช้เงินจำนวนมาก,cukup besar,Mereka menghabiskan jumlah uang yang cukup besar.
constant,The noise was a constant distraction.,끊임없는,그 소음은 끊임없는 방해 요소였다.,絶え間ない,その騒音は絶え間ない邪魔だった。,持续的,噪音一直是持续的干扰。,constante,El ruido era una distracción constante.,liên tục,Tiếng ồn là sự phân tâm liên tục.,คงที่; ต่อเนื่อง,เสียงรบกวนเป็นสิ่งที่รบกวนอย่างต่อเนื่อง,konstan,Kebisingan itu menjadi gangguan yang konstan.
consumer,Consumers are demanding healthier food options.,소비자,소비자들은 더 건강한 음식 옵션을 요구하고 있다.,消費者,消費者はより健康的な食品の選択肢を求めている。,消费者,消费者正在要求更健康的食品选择。,consumidor,Los consumidores están exigiendo opciones de comida más saludables.,người tiêu dùng,Người tiêu dùng đang đòi hỏi các lựa chọn thực phẩm lành mạnh hơn.,ผู้บริโภค,ผู้บริโภคกำลังเรียกร้องตัวเลือกอาหารที่ดีต่อสุขภาพมากขึ้น,konsumen,Konsumen menuntut pilihan makanan yang lebih sehat.
controversial,The decision was highly controversial.,논란이 많은,그 결정은 매우 논란이 많았다.,論争の的な,その決定は非常に物議を醸した。,有争议的,这个决定非常有争议。,controvertido,La decisión fue muy controvertida.,gây tranh cãi,Quyết định đó rất gây tranh cãi.,เป็นที่ถกเถียง,การตัดสินใจนั้นเป็นที่ถกเถียงอย่างมาก,kontroversial,Keputusan itu sangat kontroversial.
correspond,The results correspond with earlier findings.,일치하다,그 결과는 이전 발견과 일치한다.,一致する,結果は以前の発見と一致する。,对应; 一致,结果与早期的发现一致。,corresponder,Los resultados corresponden con hallazgos anteriores.,tương ứng,Kết quả tương ứng với các phát hiện trước đó.,สอดคล้อง,ผลลัพธ์สอดคล้องกับการค้นพบก่อนหน้านี้,sesuai,Hasilnya sesuai dengan temuan sebelumnya.
criticism,He received a lot of criticism for his speech.,비판,그는 연설에 대해 많은 비판을 받았다.,批判,彼はスピーチに対して多くの批判を受けた。,批评,他的演讲受到了很多批评。,crítica,Recibió mucha crítica por su discurso.,sự chỉ trích,Anh ấy nhận được nhiều chỉ trích vì bài phát biểu.,คำวิจารณ์,เขาได้รับคำวิจารณ์มากมายจากการกล่าวสุนทรพจน์,kritik,Dia menerima banyak kritik atas pidatonya.
current,The current situation requires immediate action.,현재의,현재 상황은 즉각적인 조치를 필요로 한다.,現在の,現在の状況は即座の行動を必要としている。,当前的,当前的形势需要立即采取行动。,actual,La situación actual requiere acción inmediata.,hiện tại,Tình hình hiện tại đòi hỏi hành động ngay lập tức.,ปัจจุบัน,สถานการณ์ปัจจุบันต้องการการดำเนินการทันที,saat ini,Situasi saat ini memerlukan tindakan segera.
decline,The population has declined sharply.,감소하다,인구가 급격히 감소했다.,減少する,人口が急激に減少した。,下降,人口急剧下降了。,disminuir,La población ha disminuido drásticamente.,suy giảm,Dân số đã suy giảm mạnh.,ลดลง,จำนวนประชากรลดลงอย่างรวดเร็ว,menurun,Populasinya telah menurun tajam.
depict,The painting depicts a rural landscape.,묘사하다,그 그림은 시골 풍경을 묘사한다.,描写する,その絵は田園風景を描写している。,描绘,这幅画描绘了一幅乡村风景。,representar,La pintura representa un paisaje rural.,miêu tả,Bức tranh miêu tả phong cảnh nông thôn.,พรรณนา,ภาพวาดพรรณนาถึงทิวทัศน์ชนบท,menggambarkan,Lukisan itu menggambarkan pemandangan pedesaan.
distinction,There is a clear distinction between the two theories.,구별,두 이론 사이에는 분명한 구별이 있다.,区別,2つの理論の間には明確な区別がある。,区别,这两种理论之间有明显的区别。,distinción,Hay una clara distinción entre las dos teorías.,sự khác biệt,Có sự khác biệt rõ ràng giữa hai lý thuyết.,ความแตกต่าง,มีความแตกต่างที่ชัดเจนระหว่างสองทฤษฎี,perbedaan,Ada perbedaan yang jelas antara dua teori tersebut.
domestic,Domestic flights are usually cheaper.,국내의,국내 항공편은 보통 더 저렴하다.,国内の,国内便は通常より安い。,国内的,国内航班通常更便宜。,doméstico,Los vuelos domésticos suelen ser más baratos.,trong nước,Các chuyến bay nội địa thường rẻ hơn.,ภายในประเทศ,เที่ยวบินภายในประเทศมักจะถูกกว่า,domestik,Penerbangan domestik biasanya lebih murah.
dominate,A few large companies dominate the market.,지배하다,몇몇 대기업이 시장을 지배한다.,支配する,いくつかの大企業が市場を支配している。,支配; 主导,几家大公司主导着市场。,dominar,Unas pocas grandes empresas dominan el mercado.,thống trị,Một vài công ty lớn thống trị thị trường.,ครอบงำ,บริษัทขนาดใหญ่ไม่กี่แห่งครอบงำตลาด,mendominasi,Beberapa perusahaan besar mendominasi pasar.
elaborate,Could you elaborate on your point?,자세히 설명하다,당신의 요점을 자세히 설명해 주시겠습니까?,詳しく述べる,あなたの主張をもう少し詳しく述べていただけますか？,详细说明,你能详细说明你的观点吗？,elaborar,¿Podrías elaborar tu punto?,giải thích chi tiết,Bạn có thể giải thích chi tiết hơn về quan điểm của bạn không?,อธิบายเพิ่มเติม,คุณช่วยอธิบายเพิ่มเติมเกี่ยวกับประเด็นของคุณได้ไหม,menjelaskan lebih lanjut,Bisakah Anda menjelaskan lebih lanjut tentang poin Anda?
enable,Technology enables people to work remotely.,가능하게 하다,기술은 사람들이 원격으로 일할 수 있게 한다.,可能にする,テクノロジーは人々がリモートで働くことを可能にする。,使能够,技术使人们能够远程工作。,permitir,La tecnología permite a las personas trabajar de forma remota.,cho phép,Công nghệ cho phép mọi người làm việc từ xa.,ทำให้สามารถ,เทคโนโลยีทำให้ผู้คนสามารถทำงานทางไกลได้,memungkinkan,Teknologi memungkinkan orang bekerja dari jarak jauh.
