english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
photosynthesis,Photosynthesis converts sunlight into chemical energy in plants.,광합성,식물은 광합성을 통해 햇빛을 화학 에너지로 전환한다.,光合成,植物は光合成によって太陽光を化学エネルギーに変換する。,光合作用,植物通过光合作用将阳光转化为化学能。,fotosíntesis,La fotosíntesis convierte la luz solar en energía química en las plantas.,quang hợp,Quang hợp chuyển đổi ánh sáng mặt trời thành năng lượng hóa học trong thực vật.,การสังเคราะห์แสง,การสังเคราะห์แสงเปลี่ยนแสงแดดเป็นพลังงานเคมีในพืช,fotosintesis,Fotosintesis mengubah sinar matahari menjadi energi kimia pada tumbuhan.
empirical,The researcher relied on empirical evidence to support her hypothesis.,경험적인,연구자는 자신의 가설을 뒷받침하기 위해 경험적 증거에 의존했다.,経験的な,研究者は仮説を裏付けるために経験的証拠に頼った。,经验的,研究人员依靠经验证据来支持她的假设。,empírico,La investigadora se basó en evidencia empírica para respaldar su hipótesis.,thực nghiệm,Nhà nghiên cứu dựa vào bằng chứng thực nghiệm để hỗ trợ giả thuyết của mình.,เชิงประจักษ์,นักวิจัยพึ่งพาหลักฐานเชิงประจักษ์เพื่อสนับสนุนสมมติฐานของเธอ,empiris,Peneliti mengandalkan bukti empiris untuk mendukung hipotesisnya.
disambiguation,Disambiguation of the term was necessary for the academic paper.,명확화,해당 용어의 명확화는 학술 논문에 필수적이었다.,曖昧性の解消,その用語の曖昧性解消は学術論文に必要だった。,消歧,该术语的消歧对于学术论文是必要的。,desambiguación,La desambiguación del término era necesaria para el artículo académico.,định rõ nghĩa,Việc định rõ nghĩa của thuật ngữ là cần thiết cho bài báo học thuật.,การแก้ความกำกวม,การแก้ความกำกวมของคำนี้จำเป็นสำหรับบทความวิชาการ,disambiguasi,Disambiguasi istilah tersebut diperlukan untuk makalah akademis.
anthropology,Anthropology examines human societies across different time periods.,인류학,인류학은 다양한 시대에 걸친 인간 사회를 연구한다.,人類学,人類学はさまざまな時代の人間社会を調査する。,人类学,人类学研究不同时期的人类社会。,antropología,La antropología examina las sociedades humanas en diferentes períodos.,nhân chủng học,Nhân chủng học nghiên cứu các xã hội loài người qua các thời kỳ khác nhau.,มานุษยวิทยา,มานุษยวิทยาศึกษาสังคมมนุษย์ในช่วงเวลาต่างๆ,antropologi,Antropologi mempelajari masyarakat manusia di berbagai periode waktu.
stratification,Social stratification creates distinct hierarchies within communities.,계층화,사회적 계층화는 공동체 내에 뚜렷한 위계를 만든다.,階層化,社会的階層化はコミュニティ内に明確な階層を作り出す。,分层,社会分层在社区内创造了不同的等级制度。,estratificación,La estratificación social crea jerarquías distintas dentro de las comunidades.,phân tầng,Phân tầng xã hội tạo ra các hệ thống phân cấp riêng biệt trong cộng đồng.,การแบ่งชั้น,การแบ่งชั้นทางสังคมสร้างลำดับชั้นที่ชัดเจนภายในชุมชน,stratifikasi,Stratifikasi sosial menciptakan hierarki yang berbeda dalam komunitas.
assimilate,Immigrants often assimilate into the dominant culture over generations.,동화하다,이민자들은 세대를 거쳐 지배적 문화에 동화되는 경우가 많다.,同化する,移民は世代を経て支配的文化に同化することが多い。,同化,移民往往经过几代人逐渐同化到主流文化中。,asimilar,Los inmigrantes a menudo se asimilan a la cultura dominante con el tiempo.,đồng hóa,Người nhập cư thường đồng hóa vào văn hóa chủ đạo qua nhiều thế hệ.,กลมกลืน,ผู้อพยพมักจะกลมกลืนเข้ากับวัฒนธรรมหลักเมื่อเวลาผ่านไป,berasimilasi,Imigran sering berasimilasi ke dalam budaya dominan dari generasi ke generasi.
biodiversity,Biodiversity loss threatens the stability of global ecosystems.,생물 다양성,생물 다양성의 손실은 전 세계 생태계의 안정성을 위협한다.,生物多様性,生物多様性の喪失は地球規模の生態系の安定を脅かす。,生物多样性,生物多样性的丧失威胁着全球生态系统的稳定。,biodiversidad,La pérdida de biodiversidad amenaza la estabilidad de los ecosistemas globales.,đa dạng sinh học,Mất đa dạng sinh học đe dọa sự ổn định của các hệ sinh thái toàn cầu.,ความหลากหลายทางชีวภาพ,การสูญเสียความหลากหลายทางชีวภาพคุกคามเสถียรภาพของระบบนิเวศโลก,keanekaragaman hayati,Hilangnya keanekaragaman hayati mengancam stabilitas ekosistem global.
catalyst,The enzyme acts as a catalyst in the biochemical reaction.,촉매,그 효소는 생화학 반응에서 촉매로 작용한다.,触媒,その酵素は生化学反応において触媒として作用する。,催化剂,该酶在生化反应中充当催化剂。,catalizador,La enzima actúa como catalizador en la reacción bioquímica.,chất xúc tác,Enzyme hoạt động như một chất xúc tác trong phản ứng sinh hóa.,ตัวเร่งปฏิกิริยา,เอนไซม์ทำหน้าที่เป็นตัวเร่งปฏิกิริยาในปฏิกิริยาทางชีวเคมี,katalis,Enzim bertindak sebagai katalis dalam reaksi biokimia.
circumscribe,The professor circumscribed the scope of the research project.,제한하다,교수는 연구 프로젝트의 범위를 제한했다.,制限する,教授は研究プロジェクトの範囲を制限した。,限制,教授限制了研究项目的范围。,circunscribir,El profesor circunscribió el alcance del proyecto de investigación.,giới hạn,Giáo sư đã giới hạn phạm vi của dự án nghiên cứu.,จำกัดขอบเขต,ศาสตราจารย์จำกัดขอบเขตของโครงการวิจัย,membatasi,Profesor membatasi ruang lingkup proyek penelitian.
cognition,Cognition encompasses all mental processes involved in thinking.,인지,인지는 사고에 관련된 모든 정신적 과정을 포괄한다.,認知,認知は思考に関わるすべての精神的プロセスを包含する。,认知,认知涵盖了与思维相关的所有心理过程。,cognición,La cognición abarca todos los procesos mentales involucrados en el pensamiento.,nhận thức,Nhận thức bao gồm tất cả các quá trình tinh thần liên quan đến tư duy.,การรับรู้,การรับรู้ครอบคลุมกระบวนการทางจิตทั้งหมดที่เกี่ยวข้องกับการคิด,kognisi,Kognisi mencakup semua proses mental yang terlibat dalam berpikir.
