english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
hypothesis,The researcher tested her hypothesis through experiments.,가설,연구자는 실험을 통해 가설을 검증했다.,仮説,研究者は実験を通じて仮説を検証した。,假设,研究人员通过实验验证了她的假设。,hipótesis,La investigadora probó su hipótesis mediante experimentos.,giả thuyết,Nhà nghiên cứu đã kiểm tra giả thuyết qua thí nghiệm.,สมมติฐาน,นักวิจัยทดสอบสมมติฐานผ่านการทดลอง,hipotesis,Peneliti menguji hipotesisnya melalui eksperimen.
methodology,The study employed a qualitative methodology.,방법론,이 연구는 질적 방법론을 사용했다.,方法論,この研究は質的方法論を採用した。,方法论,该研究采用了定性方法论。,metodología,El estudio empleó una metodología cualitativa.,phương pháp luận,Nghiên cứu này sử dụng phương pháp luận định tính.,ระเบียบวิธี,การศึกษานี้ใช้ระเบียบวิธีเชิงคุณภาพ,metodologi,Studi ini menggunakan metodologi kualitatif.
phenomenon,Climate change is a global phenomenon.,현상,기후 변화는 전 세계적인 현상이다.,現象,気候変動は地球規模の現象である。,现象,气候变化是一个全球性现象。,fenómeno,El cambio climático es un fenómeno global.,hiện tượng,Biến đổi khí hậu là một hiện tượng toàn cầu.,ปรากฏการณ์,การเปลี่ยนแปลงสภาพภูมิอากาศเป็นปรากฏการณ์ระดับโลก,fenomena,Perubahan iklim adalah fenomena global.
infrastructure,The government invested in transportation infrastructure.,기반 시설,정부는 교통 기반 시설에 투자했다.,インフラ,政府は交通インフラに投資した。,基础设施,政府投资了交通基础设施。,infraestructura,El gobierno invirtió en infraestructura de transporte.,cơ sở hạ tầng,Chính phủ đầu tư vào cơ sở hạ tầng giao thông.,โครงสร้างพื้นฐาน,รัฐบาลลงทุนในโครงสร้างพื้นฐานด้านการขนส่ง,infrastruktur,Pemerintah berinvestasi dalam infrastruktur transportasi.
paradigm,The discovery led to a paradigm shift in physics.,패러다임,그 발견은 물리학에서 패러다임 전환을 이끌었다.,パラダイム,その発見は物理学のパラダイムシフトをもたらした。,范式,这一发现导致了物理学的范式转变。,paradigma,El descubrimiento llevó a un cambio de paradigma en la física.,mô hình,Khám phá này đã dẫn đến sự thay đổi mô hình trong vật lý.,กระบวนทัศน์,การค้นพบนี้นำไปสู่การเปลี่ยนกระบวนทัศน์ในฟิสิกส์,paradigma,Penemuan itu menyebabkan pergeseran paradigma dalam fisika.
accumulate,Students accumulate knowledge throughout the semester.,축적하다,학생들은 학기 내내 지식을 축적한다.,蓄積する,学生は学期を通じて知識を蓄積する。,积累,学生在整个学期中积累知识。,acumular,Los estudiantes acumulan conocimiento durante el semestre.,tích lũy,Sinh viên tích lũy kiến thức trong suốt học kỳ.,สะสม,นักศึกษาสะสมความรู้ตลอดภาคการศึกษา,mengakumulasi,Mahasiswa mengakumulasi pengetahuan sepanjang semester.
acknowledge,The professor acknowledged the student's contribution.,인정하다,교수는 학생의 기여를 인정했다.,認める,教授は学生の貢献を認めた。,承认,教授承认了学生的贡献。,reconocer,El profesor reconoció la contribución del estudiante.,thừa nhận,Giáo sư thừa nhận đóng góp của sinh viên.,ยอมรับ,ศาสตราจารย์ยอมรับการมีส่วนร่วมของนักศึกษา,mengakui,Profesor mengakui kontribusi mahasiswa tersebut.
adjacent,The library is adjacent to the science building.,인접한,도서관은 과학관에 인접해 있다.,隣接した,図書館は理学部棟に隣接している。,相邻的,图书馆与科学楼相邻。,adyacente,La biblioteca es adyacente al edificio de ciencias.,liền kề,Thư viện nằm liền kề tòa nhà khoa học.,ติดกัน,ห้องสมุดอยู่ติดกับอาคารวิทยาศาสตร์,berdekatan,Perpustakaan berdekatan dengan gedung sains.
advocate,Many scientists advocate for renewable energy.,옹호하다,많은 과학자들이 재생 에너지를 옹호한다.,提唱する,多くの科学者が再生可能エネルギーを提唱している。,倡导,许多科学家倡导可再生能源。,abogar,Muchos científicos abogan por la energía renovable.,ủng hộ,Nhiều nhà khoa học ủng hộ năng lượng tái tạo.,สนับสนุน,นักวิทยาศาสตร์หลายคนสนับสนุนพลังงานหมุนเวียน,mengadvokasi,Banyak ilmuwan mengadvokasi energi terbarukan.
ambiguous,The results of the experiment were ambiguous.,모호한,실험 결과는 모호했다.,曖昧な,実験の結果は曖昧だった。,模糊的,实验结果是模糊的。,ambiguo,Los resultados del experimento fueron ambiguos.,mơ hồ,Kết quả thí nghiệm rất mơ hồ.,คลุมเครือ,ผลการทดลองคลุมเครือ,ambigu,Hasil eksperimen tersebut ambigu.
