english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
abide,All employees must abide by the company's code of conduct.,준수하다,모든 직원은 회사의 행동 강령을 준수해야 합니다.,従う,全従業員は会社の行動規範を遵守しなければなりません。,遵守,所有员工必须遵守公司的行为准则。,"cumplir, atenerse a",Todos los empleados deben atenerse al código de conducta de la empresa.,tuân theo,Tất cả nhân viên phải tuân thủ quy tắc ứng xử của công ty.,ปฏิบัติตาม,พนักงานทุกคนจะต้องปฏิบัติตามจรรยาบรรณของบริษัท,tinggal,Semua karyawan harus mematuhi kode etik perusahaan.
abolish,The board voted to abolish the outdated overtime policy.,폐지하다,이사회는 구식 초과근무 정책을 폐지하기로 투표했습니다.,廃止する,取締役会は時代遅れの残業方針を廃止することを決議しました。,废除,董事会投票决定废除过时的加班政策。,"abolir, suprimir",La junta votó abolir la obsoleta política de horas extra.,bãi bỏ,Chính phủ bãi bỏ thuế nhập khẩu đối với thiết bị y tế.,ยกเลิก,รัฐบาลยกเลิกภาษีนำเข้าอุปกรณ์ทางการแพทย์,menghapuskan,Pemerintah menghapuskan pajak impor atas peralatan medis.
abstain,Three board members chose to abstain from the important vote.,삼가다,세 명의 이사가 중요한 투표를 기권하기로 했습니다.,控える,3人の取締役が重要な投票を棄権することを選びました。,弃权,三名董事会成员选择在重要投票中弃权。,abstenerse,Tres miembros de la junta eligieron abstenerse en la votación importante.,kiêng,Ba thành viên hội đồng đã chọn bỏ phiếu trắng trong cuộc biểu quyết quan trọng.,งดเว้น,สมาชิกคณะกรรมการสามคนเลือกที่จะงดเว้นจากการลงคะแนนเสียงที่สำคัญ,menjauhkan diri,Tiga anggota dewan memilih abstain dalam pemungutan suara penting tersebut.
accelerate,The new strategy will accelerate growth in the Asian market.,가속하다,새로운 전략은 아시아 시장에서의 성장을 가속할 것입니다.,加速する,新しい戦略はアジア市場での成長を加速させるでしょう。,加速,新战略将加速亚洲市场的增长。,acelerar,La nueva estrategia acelerará el crecimiento en el mercado asiático.,tăng tốc,Công ty tăng tốc tiến độ phát triển sản phẩm mới.,เร่ง,บริษัทเร่งกระบวนการพัฒนาผลิตภัณฑ์ใหม่,mempercepat,Perusahaan mempercepat proses pengembangan produk baru.
accumulate,The company managed to accumulate significant cash reserves this year.,축적하다,회사는 올해 상당한 현금 보유고를 축적했습니다.,蓄積する,会社は今年かなりの現金準備金を蓄積しました。,积累,公司今年成功积累了大量现金储备。,acumular,La empresa logró acumular importantes reservas de efectivo este año.,tích lũy,Công ty đã tích lũy được lợi nhuận đáng kể trong năm năm.,สะสม,บริษัทสะสมผลกำไรจำนวนมากในช่วงห้าปี,mengakumulasi; menumpuk,Perusahaan mengakumulasi keuntungan yang signifikan selama lima tahun.
acquaint,Please acquaint yourself with the new safety regulations before Monday.,알리다,월요일 전에 새로운 안전 규정을 숙지해 주세요.,知らせる,月曜日までに新しい安全規則を把握してください。,使了解,请在周一之前熟悉新的安全规定。,"familiarizar, informar","Por favor, familiarícese con las nuevas normas de seguridad antes del lunes.",làm quen,Hãy làm quen với các quy định an toàn mới trước thứ Hai.,รู้จัก,โปรดทำความคุ้นเคยกับกฎระเบียบด้านความปลอดภัยใหม่ก่อนวันจันทร์,memperkenalkan,Harap kenali peraturan keselamatan baru sebelum hari Senin.
acquisition,The acquisition of the rival firm was completed last quarter.,인수,경쟁사 인수는 지난 분기에 완료되었습니다.,買収,ライバル企業の買収は前四半期に完了しました。,收购,对竞争对手公司的收购在上季度完成。,adquisición,La adquisición de la empresa rival se completó el trimestre pasado.,mua lại,Việc mua lại công ty đối thủ đã tăng thị phần đáng kể.,การเข้าซื้อกิจการ,การเข้าซื้อกิจการคู่แข่งเพิ่มส่วนแบ่งตลาดอย่างมาก,akuisisi,Akuisisi perusahaan pesaing secara signifikan meningkatkan pangsa pasar.
adjourn,The chairperson decided to adjourn the meeting until next Friday.,휴회하다,의장은 회의를 다음 금요일까지 휴회하기로 했습니다.,休会する,議長は会議を来週金曜日まで休会することを決めました。,休会,主席决定将会议休会至下周五。,"levantar la sesión, aplazar",El presidente decidió levantar la sesión hasta el próximo viernes.,hoãn lại,Chủ tịch quyết định hoãn cuộc họp cho đến thứ Sáu tuần sau.,เลื่อนออกไป,ประธานมีมติเลื่อนการประชุมไปเป็นวันศุกร์หน้า,menunda,Ketua memutuskan untuk menunda rapat hingga Jumat depan.
admonish,The supervisor had to admonish the team for missing the deadline.,훈계하다,감독관은 마감을 놓친 팀을 훈계해야 했습니다.,忠告する,上司は締め切りを逃したチームを忠告しなければなりませんでした。,告诫,主管不得不告诫团队错过截止日期的问题。,"amonestar, reprender",El supervisor tuvo que amonestar al equipo por no cumplir el plazo.,khiển trách,Việc chấn chỉnh thỏa thuận hợp tác trở nên cần thiết do có những khác biệt không thể hòa giải.,ตักเตือน,มีความจำเป็นต้องตักเตือนข้อตกลงความร่วมมือเนื่องจากความแตกต่างที่เข้ากันไม่ได้,menegur,Perjanjian kemitraan perlu ditegur karena adanya perbedaan yang tidak dapat didamaikan.
adversary,Our main adversary in the market launched a new competing product.,적수,시장에서 우리의 주요 적수가 새로운 경쟁 제품을 출시했습니다.,敵対者,市場での主な敵対者が新しい競合製品を発売しました。,对手,我们在市场上的主要对手推出了一款新的竞争产品。,"adversario, rival",Nuestro principal adversario en el mercado lanzó un nuevo producto competidor.,kẻ thù,Đối thủ chính của chúng tôi trên thị trường đã tung ra một sản phẩm cạnh tranh mới.,ฝ่ายตรงข้าม,ศัตรูหลักของเราในตลาดได้เปิดตัวผลิตภัณฑ์คู่แข่งตัวใหม่,musuh,Musuh utama kita di pasar meluncurkan produk pesaing baru.
adverse,Adverse weather conditions caused significant delays in the supply chain.,불리한,불리한 기상 조건이 공급망에 상당한 지연을 초래했습니다.,不利な,不利な気象条件がサプライチェーンに大きな遅延を引き起こしました。,不利的,不利的天气条件导致了供应链的严重延迟。,"adverso, desfavorable",Las condiciones climáticas adversas causaron retrasos significativos en la cadena de suministro.,bất lợi,Điều kiện thời tiết bất lợi đã gây ra sự chậm trễ đáng kể trong chuỗi cung ứng.,ไม่พึงประสงค์,สภาพอากาศที่ไม่เอื้ออำนวยทำให้เกิดความล่าช้าอย่างมากในห่วงโซ่อุปทาน,merugikan,Kondisi cuaca buruk menyebabkan penundaan yang signifikan dalam rantai pasokan.
advocacy,Her advocacy for employee wellness programs gained strong company-wide support.,옹호,직원 웰니스 프로그램에 대한 그녀의 옹호가 전사적 지지를 얻었습니다.,擁護,従業員ウェルネスプログラムへの彼女の擁護は全社的な支持を得ました。,倡导,她对员工健康计划的倡导获得了全公司的大力支持。,"defensa, promoción",Su defensa de los programas de bienestar para empleados obtuvo un sólido apoyo en toda la empresa.,vận động,Sự ủng hộ của cô cho các chương trình chăm sóc sức khỏe cho nhân viên đã nhận được sự ủng hộ mạnh mẽ trên toàn công ty.,การสนับสนุน,การสนับสนุนโครงการสุขภาพของพนักงานของเธอได้รับการสนับสนุนอย่างแข็งแกร่งทั่วทั้งบริษัท,pembelaan,Advokasinya terhadap program kesehatan karyawan mendapat dukungan kuat dari seluruh perusahaan.
affiliate,The company plans to affiliate with a European distribution partner.,제휴하다,회사는 유럽 유통 파트너와 제휴할 계획입니다.,提携する,会社はヨーロッパの流通パートナーと提携する予定です。,附属,公司计划与一家欧洲分销合作伙伴建立附属关系。,"afiliarse, asociarse",La empresa planea afiliarse con un socio de distribución europeo.,chi nhánh liên kết,Chi nhánh liên kết ở châu Âu phụ trách phân phối khu vực.,บริษัทในเครือ,บริษัทในเครือยุโรปรับผิดชอบการจัดจำหน่ายในภูมิภาค,afiliasi,Afiliasi di Eropa bertanggung jawab atas distribusi regional.
affirmative,The committee gave an affirmative response to the budget proposal.,긍정적인,위원회는 예산안에 대해 긍정적인 응답을 했습니다.,肯定的な,委員会は予算案に対して肯定的な回答をしました。,肯定的,委员会对预算提案给出了肯定的答复。,"afirmativo, positivo",El comité dio una respuesta afirmativa a la propuesta de presupuesto.,khẳng định,Ủy ban đã đưa ra phản hồi tích cực đối với đề xuất ngân sách.,ยืนยัน,คณะกรรมการให้คำตอบยืนยันข้อเสนองบประมาณ,setuju,Panitia memberikan tanggapan positif terhadap usulan anggaran tersebut.
aggregate,The aggregate sales figures exceeded our quarterly projections this year.,합계의,합계 매출 수치가 올해 분기 예상치를 크게 초과했습니다.,合計の,合計売上高は今年の四半期の予測を大幅に上回りました。,总计的,总销售额大大超过了今年的季度预测。,"total, agregado",Las cifras de ventas totales superaron nuestras proyecciones trimestrales este año.,tổng hợp,Số liệu bán hàng tổng hợp đã vượt quá dự đoán hàng quý của chúng tôi trong năm nay.,รวม,ตัวเลขยอดขายรวมเกินกว่าที่เราคาดการณ์รายไตรมาสในปีนี้,agregat,Angka penjualan agregat melebihi proyeksi triwulanan kami tahun ini.
agile,An agile approach allows the team to respond quickly to changes.,민첩한,애자일 접근 방식은 팀이 변화에 빠르게 대응할 수 있게 합니다.,機敏な,アジャイルなアプローチにより、チームは変化に迅速に対応できます。,敏捷的,敏捷的方法使团队能够快速应对变化。,"ágil, flexible",Un enfoque ágil permite al equipo responder rápidamente a los cambios.,nhanh nhẹn,Cách tiếp cận nhanh nhẹn cho phép nhóm phản ứng nhanh chóng với những thay đổi.,คล่องตัว,แนวทางที่คล่องตัวช่วยให้ทีมตอบสนองต่อการเปลี่ยนแปลงได้อย่างรวดเร็ว,lincah,Pendekatan tangkas memungkinkan tim merespons perubahan dengan cepat.
allegation,The allegation of financial fraud led to a thorough investigation.,주장,재정 사기 주장이 철저한 조사로 이어졌습니다.,申し立て,金融詐欺の申し立てにより、徹底的な調査が行われました。,指控,财务欺诈的指控导致了彻底的调查。,"acusación, alegación",La acusación de fraude financiero llevó a una investigación exhaustiva.,cáo buộc,Công ty phủ nhận mọi cáo buộc về gian lận tài chính.,ข้อกล่าวหา,บริษัทปฏิเสธข้อกล่าวหาทุกข้อเกี่ยวกับการฉ้อโกงทางการเงิน,tuduhan,Perusahaan membantah semua tuduhan penipuan keuangan.
alleviate,The new policy aims to alleviate the burden on small businesses.,완화하다,새 정책은 중소기업의 부담을 완화하는 것을 목표로 합니다.,軽減する,新しい方針は中小企業の負担を軽減することを目指しています。,缓解,新政策旨在缓解小企业的负担。,"aliviar, mitigar",La nueva política tiene como objetivo aliviar la carga sobre las pequeñas empresas.,giảm bớt,Các nhà quản lý rủi ro xác định điều cần thiết là giảm bớt khả năng tiếp xúc với các lĩnh vực thị trường đầy biến động.,บรรเทา,ผู้จัดการความเสี่ยงพิจารณาว่าการบรรเทาความเสี่ยงจากภาคตลาดที่มีความผันผวนเป็นสิ่งสำคัญ,meringankan,Manajer risiko memutuskan bahwa mengurangi paparan terhadap sektor pasar yang bergejolak adalah hal yang penting.
allocation,The budget allocation for marketing increased by fifteen percent this year.,배분,올해 마케팅 예산 배분이 15% 증가했습니다.,配分,マーケティングへの予算配分が今年15パーセント増加しました。,分配,今年市场营销的预算分配增加了百分之十五。,"asignación, distribución",La asignación presupuestaria para marketing aumentó un quince por ciento este año.,phân bổ,Việc phân bổ ngân sách cho tiếp thị đã tăng 15% trong năm nay.,การจัดสรร,การจัดสรรงบประมาณสำหรับการตลาดเพิ่มขึ้นสิบห้าเปอร์เซ็นต์ในปีนี้,alokasi,Alokasi anggaran untuk pemasaran meningkat lima belas persen pada tahun ini.
allowance,Employees receive a monthly travel allowance of five hundred dollars.,수당,직원들은 월 500달러의 출장 수당을 받습니다.,手当,従業員は毎月500ドルの旅行手当を受け取ります。,津贴,员工每月获得五百美元的差旅津贴。,"subsidio, asignación",Los empleados reciben un subsidio mensual de viaje de quinientos dólares.,trợ cấp,Nhân viên nhận trợ cấp hàng tháng cho chi phí đi lại.,เบี้ยเลี้ยง,พนักงานได้รับเบี้ยเลี้ยงรายเดือนสำหรับค่าเดินทาง,tunjangan,Karyawan menerima tunjangan bulanan untuk biaya perjalanan.
ambiguity,The ambiguity in the contract led to a dispute between parties.,모호함,계약서의 모호함이 당사자 간 분쟁으로 이어졌습니다.,曖昧さ,契約書の曖昧さが当事者間の紛争につながりました。,模糊性,合同中的模糊性导致了双方之间的纠纷。,"ambigüedad, imprecisión",La ambigüedad en el contrato provocó una disputa entre las partes.,sự mơ hồ,Sự không rõ ràng trong hợp đồng dẫn đến tranh chấp giữa các bên.,ความคลุมเครือ,ความคลุมเครือในสัญญาทำให้เกิดข้อพิพาทระหว่างทั้งสองฝ่าย,kemenduaan,Ketidakjelasan dalam kontrak menyebabkan perselisihan antar pihak.
amend,The legal team will amend the contract to include new terms.,수정하다,법무팀이 새로운 조건을 포함하도록 계약서를 수정할 것입니다.,修正する,法務チームが新しい条件を含めるよう契約を修正します。,修改,法务团队将修改合同以纳入新条款。,"enmendar, modificar",El equipo legal enmendará el contrato para incluir nuevas cláusulas.,sửa đổi,Hợp đồng được sửa đổi để phản ánh điều khoản mới.,แก้ไข,สัญญาถูกแก้ไขเพื่อสะท้อนเงื่อนไขใหม่,mengamendemen,Kontrak diamendemen untuk mencerminkan ketentuan baru.
amicable,Both parties reached an amicable settlement outside of the courtroom.,우호적인,양 당사자는 법정 밖에서 우호적인 합의에 도달했습니다.,友好的な,両当事者は法廷外で友好的な和解に達しました。,友好的,双方在庭外达成了友好的和解。,"amistoso, cordial",Ambas partes llegaron a un acuerdo amistoso fuera de los tribunales.,thân thiện,Các quy định thân thiện điều chỉnh thương mại quốc tế đặt ra thách thức cho các doanh nghiệp xuất khẩu nhỏ.,เป็นกันเอง,กฎระเบียบที่เป็นมิตรที่ควบคุมการค้าระหว่างประเทศก่อให้เกิดความท้าทายสำหรับธุรกิจส่งออกขนาดเล็ก,ramah,Peraturan damai yang mengatur perdagangan internasional menimbulkan tantangan bagi usaha ekspor kecil.
ample,There is ample time to complete the project before the deadline.,충분한,마감 전에 프로젝트를 완료할 충분한 시간이 있습니다.,十分な,締め切り前にプロジェクトを完了する十分な時間があります。,充足的,在截止日期前完成项目有充足的时间。,"amplio, suficiente",Hay tiempo suficiente para completar el proyecto antes de la fecha límite.,dồi dào,Có không gian dồi dào trong kho cho hàng tồn kho mới.,เพียงพอ,มีพื้นที่เพียงพอในคลังสินค้าสำหรับสินค้าคงคลังใหม่,cukup banyak,Ada ruang yang cukup banyak di gudang untuk inventaris baru.
annex,The company built a new annex to accommodate the growing staff.,별관,회사는 증가하는 직원을 수용하기 위해 새 별관을 지었습니다.,別館,会社は増加するスタッフを収容するために新しい別館を建設しました。,附件,公司建了一座新的附属建筑以容纳不断增加的员工。,"anexo, edificio adicional",La empresa construyó un nuevo anexo para acomodar al personal en crecimiento.,phụ lục,CEO hứa sẽ bổ sung các quy trình kém hiệu quả trong đợt đánh giá hàng quý.,ภาคผนวก,ซีอีโอสัญญาว่าจะผนวกกระบวนการที่ไม่มีประสิทธิภาพในระหว่างการทบทวนรายไตรมาส,lampiran,CEO berjanji untuk melampirkan proses yang tidak efisien selama tinjauan triwulanan.
anomaly,The auditor discovered an anomaly in the quarterly financial report.,이상,감사인이 분기 재무 보고서에서 이상을 발견했습니다.,異常,監査人が四半期財務報告書に異常を発見しました。,异常,审计师在季度财务报告中发现了一处异常。,"anomalía, irregularidad",El auditor descubrió una anomalía en el informe financiero trimestral.,sự bất thường,Sự bất thường liên quan đến dự án đã khiến nó trở thành chủ đề tranh luận gay gắt trong hội đồng.,ความผิดปกติ,ความผิดปกติที่เกี่ยวข้องกับโครงการทำให้เป็นหัวข้อถกเถียงของคณะกรรมการอย่างเข้มข้น,anomali,Anomali yang terkait dengan proyek ini menjadikannya bahan perdebatan dewan yang intens.
apparatus,The testing apparatus must be calibrated before each quality inspection.,장치,검사 장치는 각 품질 검사 전에 교정되어야 합니다.,装置,テスト装置は品質検査の前に校正する必要があります。,装置,测试装置必须在每次质量检查前进行校准。,"aparato, dispositivo",El aparato de prueba debe calibrarse antes de cada inspección de calidad.,thiết bị,Thiết bị thí nghiệm cần được hiệu chuẩn thường xuyên.,เครื่องมือ,เครื่องมือทางห้องปฏิบัติการต้องได้รับการสอบเทียบเป็นประจำ,peralatan,Peralatan laboratorium perlu dikalibrasi secara berkala.
appease,Management offered bonuses to appease workers upset about the restructuring.,달래다,경영진은 구조조정에 불만인 직원들을 달래기 위해 보너스를 제안했습니다.,なだめる,経営陣はリストラに不満を持つ従業員をなだめるためにボーナスを提案しました。,安抚,管理层提供奖金来安抚对重组不满的员工。,"apaciguar, calmar",La dirección ofreció bonificaciones para apaciguar a los trabajadores molestos por la reestructuración.,xoa dịu,Lực lượng đặc nhiệm được thành lập để giải quyết các vấn đề tồn tại lâu dài trong lĩnh vực hậu cần chuỗi cung ứng.,เอาใจ,ได้มีการรวมตัวกันเพื่อแก้ไขปัญหาที่มีมายาวนานในด้านลอจิสติกส์ห่วงโซ่อุปทาน,menenangkan,Gugus tugas ini dibentuk untuk mengatasi masalah yang sudah berlangsung lama dalam logistik rantai pasokan.
appendix,Please refer to the appendix for detailed financial data and charts.,부록,상세한 재무 데이터와 차트는 부록을 참조하세요.,付録,詳細な財務データとチャートについては付録を参照してください。,附录,请参阅附录以获取详细的财务数据和图表。,"apéndice, anexo","Por favor, consulte el apéndice para obtener datos financieros y gráficos detallados.",phụ lục,Vui lòng tham khảo phần phụ lục để biết số liệu và biểu đồ tài chính chi tiết.,ภาคผนวก,โปรดดูภาคผนวกสำหรับข้อมูลทางการเงินและแผนภูมิโดยละเอียด,lampiran,Silakan lihat lampiran untuk rincian data dan grafik keuangan.
appraise,An independent expert was hired to appraise the property's current value.,감정하다,부동산의 현재 가치를 감정하기 위해 독립 전문가를 고용했습니다.,鑑定する,不動産の現在の価値を鑑定するために独立した専門家が雇われました。,评估,聘请了一位独立专家来评估该房产的当前价值。,"tasar, evaluar",Se contrató a un experto independiente para tasar el valor actual de la propiedad.,đánh giá,Một chuyên gia độc lập đã được thuê để thẩm định giá trị hiện tại của tài sản.,ประเมิน,ผู้เชี่ยวชาญอิสระได้รับการว่าจ้างให้ประเมินมูลค่าปัจจุบันของทรัพย์สิน,menilai,Seorang ahli independen dipekerjakan untuk menilai nilai properti saat ini.
apprehend,Security was able to apprehend the suspect near the office building.,체포하다,보안팀이 사무실 건물 근처에서 용의자를 체포할 수 있었습니다.,逮捕する,警備がオフィスビル付近で容疑者を逮捕することができました。,逮捕,保安人员在办公楼附近逮捕了嫌疑人。,"aprehender, detener",El personal de seguridad pudo aprehender al sospechoso cerca del edificio de oficinas.,nắm bắt,An ninh đã có thể bắt giữ nghi phạm gần tòa nhà văn phòng.,เข้าใจ,รปภ.สามารถจับกุมผู้ต้องสงสัยบริเวณใกล้อาคารสำนักงานได้,menangkap,Keamanan berhasil menangkap tersangka di dekat gedung kantor.
apprentice,The apprentice will shadow senior engineers for the first three months.,견습생,견습생은 처음 3개월 동안 선임 엔지니어를 따라다닐 것입니다.,見習い,見習いは最初の3か月間、先輩エンジニアに付いて学びます。,学徒,学徒将在前三个月跟随高级工程师学习。,aprendiz,El aprendiz acompañará a los ingenieros senior durante los primeros tres meses.,người học việc,Người học việc học các kỹ năng thực tế từ thợ có kinh nghiệm.,ผู้ฝึกงาน,ผู้ฝึกงานเรียนรู้ทักษะที่เป็นประโยชน์จากช่างที่มีประสบการณ์,magang,Pekerja magang belajar keterampilan praktis dari teknisi berpengalaman.
arbitrate,A neutral third party was called to arbitrate the labor dispute.,중재하다,노동 분쟁을 중재하기 위해 중립적인 제3자가 호출되었습니다.,仲裁する,労働紛争を仲裁するために中立的な第三者が呼ばれました。,仲裁,一位中立的第三方被请来仲裁劳动纠纷。,"arbitrar, mediar",Se llamó a una tercera parte neutral para arbitrar el conflicto laboral.,phân xử,Giám đốc mới có kế hoạch phân xử các phương pháp truyền thống có lợi cho sự đổi mới.,อนุญาโตตุลาการ,ผู้อำนวยการคนใหม่วางแผนที่จะตัดสินวิธีการแบบดั้งเดิมเพื่อสนับสนุนนวัตกรรม,menengahi,Direktur baru berencana untuk menengahi metode tradisional demi mendukung inovasi.
array,The company offers an impressive array of products and services.,배열,회사는 인상적인 배열의 제품과 서비스를 제공합니다.,配列,その会社は印象的な品揃えの製品とサービスを提供しています。,排列,公司提供一系列令人印象深刻的产品和服务。,"gama, variedad",La empresa ofrece una impresionante variedad de productos y servicios.,loạt,Công ty cung cấp một loạt dịch vụ tài chính.,ชุด,บริษัทเสนอชุดบริการทางการเงิน,rangkaian,Perusahaan menawarkan rangkaian layanan keuangan.
articulate,She was able to articulate the company's vision clearly to investors.,명확히 말하다,그녀는 투자자들에게 회사의 비전을 명확하게 표현할 수 있었습니다.,明確に述べる,彼女は投資家に会社のビジョンを明確に表現することができました。,清晰表达,她能够向投资者清晰地阐述公司的愿景。,"articular, expresar claramente",Ella pudo articular claramente la visión de la empresa ante los inversores.,nói rõ ràng,Cô ấy đã có thể truyền đạt rõ ràng tầm nhìn của công ty cho các nhà đầu tư.,พูดชัดแจ้ง,เธอสามารถแสดงวิสัยทัศน์ของบริษัทให้นักลงทุนเห็นได้อย่างชัดเจน,pandai berbicara,Ia mampu mengartikulasikan visi perusahaan dengan jelas kepada investor.
ascertain,We need to ascertain the cause of the production delay immediately.,확인하다,생산 지연의 원인을 즉시 확인해야 합니다.,確認する,生産遅延の原因を直ちに確認する必要があります。,查明,我们需要立即查明生产延迟的原因。,"determinar, verificar",Necesitamos determinar de inmediato la causa del retraso en la producción.,xác định,Chúng ta cần xác định ngay nguyên nhân gây ra sự chậm trễ trong sản xuất.,ตรวจสอบ,เราจำเป็นต้องค้นหาสาเหตุของความล่าช้าในการผลิตทันที,memastikan,Penyebab keterlambatan produksi perlu segera kita pastikan.
aspire,Many young professionals aspire to reach executive-level positions eventually.,열망하다,많은 젊은 전문가들이 궁극적으로 임원급 직위에 도달하기를 열망합니다.,熱望する,多くの若い専門家が最終的に幹部レベルの地位に到達することを目指しています。,渴望,许多年轻的专业人士渴望最终达到高管级别的职位。,"aspirar, ambicionar",Muchos jóvenes profesionales aspiran a alcanzar puestos de nivel ejecutivo.,khát vọng,Nhiều chuyên gia trẻ khát vọng trở thành doanh nhân.,ปรารถนา,มืออาชีพรุ่นใหม่หลายคนปรารถนาที่จะเป็นผู้ประกอบการ,bercita-cita,Banyak profesional muda bercita-cita menjadi pengusaha.
