english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
deteriorate,"Air quality tends to deteriorate in industrial areas.",악화되다,"산업 지역에서 공기질이 악화되는 경향이 있다.",悪化する,"工業地域では空気の質が悪化する傾向がある。",恶化,"工业区的空气质量往往会恶化。",deteriorarse,"La calidad del aire tiende a deteriorarse en zonas industriales.",xấu đi,"Chất lượng không khí có xu hướng xấu đi ở các khu công nghiệp.",เสื่อมลง,"คุณภาพอากาศมีแนวโน้มเสื่อมลงในเขตอุตสาหกรรม",memburuk,"Kualitas udara cenderung memburuk di kawasan industri."
predominantly,"The workforce is predominantly young and educated.",주로,"노동력은 주로 젊고 교육받은 사람들이다.",主に,"労働力は主に若くて教育を受けた人々である。",主要地,"劳动力主要是年轻且受过教育的人。",predominantemente,"La fuerza laboral es predominantemente joven y educada.",chủ yếu,"Lực lượng lao động chủ yếu là trẻ và có học thức.",ส่วนใหญ่,"แรงงานส่วนใหญ่เป็นคนหนุ่มสาวและมีการศึกษา",didominasi oleh,"Tenaga kerja didominasi oleh kaum muda dan berpendidikan."
substantially,"Housing prices have increased substantially over the decade.",상당히,"주택 가격이 10년간 상당히 올랐다.",大幅に,"住宅価格はこの10年で大幅に上昇した。",大幅地,"房价在过去十年中大幅上涨。",sustancialmente,"Los precios de la vivienda han aumentado sustancialmente en la década.",đáng kể,"Giá nhà đã tăng đáng kể trong thập kỷ qua.",อย่างมาก,"ราคาบ้านเพิ่มขึ้นอย่างมากในช่วงทศวรรษ",secara substansial,"Harga rumah telah meningkat secara substansial selama dekade ini."
undermine,"Fake news can undermine public trust in institutions.",약화시키다,"가짜 뉴스는 기관에 대한 대중의 신뢰를 약화시킬 수 있다.",損なう,"フェイクニュースは制度への国民の信頼を損なう可能性がある。",削弱,"假新闻可能会削弱公众对机构的信任。",socavar,"Las noticias falsas pueden socavar la confianza pública en las instituciones.",làm suy yếu,"Tin giả có thể làm suy yếu niềm tin của công chúng vào các tổ chức.",บ่อนทำลาย,"ข่าวปลอมสามารถบ่อนทำลายความไว้วางใจของสาธารณชนต่อสถาบัน",merusak,"Berita palsu dapat merusak kepercayaan publik terhadap institusi."
concurrent,"She managed concurrent projects with remarkable efficiency.",동시의,"그녀는 동시 프로젝트를 놀라운 효율성으로 관리했다.",同時の,"彼女は同時進行のプロジェクトを驚くべき効率で管理した。",同时的,"她以惊人的效率管理了多个同时进行的项目。",concurrente,"Ella gestionó proyectos concurrentes con notable eficiencia.",đồng thời,"Cô ấy quản lý các dự án đồng thời với hiệu quả đáng chú ý.",พร้อมกัน,"เธอจัดการโครงการพร้อมกันด้วยประสิทธิภาพที่น่าทึ่ง",bersamaan,"Dia mengelola proyek bersamaan dengan efisiensi yang luar biasa."
abstraction,"The concept remains an abstraction without practical examples.",추상화,"그 개념은 실제 예시 없이는 추상화로 남는다.",抽象,"その概念は実例がなければ抽象のままである。",抽象,"这个概念没有实际例子仍然是一个抽象。",abstracción,"El concepto sigue siendo una abstracción sin ejemplos prácticos.",sự trừu tượng,"Khái niệm vẫn là một sự trừu tượng nếu thiếu ví dụ thực tế.",นามธรรม,"แนวคิดยังคงเป็นนามธรรมหากไม่มีตัวอย่างที่เป็นรูปธรรม",abstraksi,"Konsep tersebut tetap menjadi abstraksi tanpa contoh praktis."
acceleration,"The acceleration of urbanization poses new challenges.",가속화,"도시화의 가속화는 새로운 도전을 제기한다.",加速,"都市化の加速は新たな課題をもたらしている。",加速,"城市化的加速带来了新的挑战。",aceleración,"La aceleración de la urbanización plantea nuevos desafíos.",sự tăng tốc,"Sự tăng tốc của quá trình đô thị hóa đặt ra những thách thức mới.",การเร่งตัว,"การเร่งตัวของการขยายเมืองก่อให้เกิดความท้าทายใหม่",percepatan,"Percepatan urbanisasi menimbulkan tantangan baru."
adherence,"Strict adherence to guidelines ensures consistent results.",준수,"지침의 엄격한 준수는 일관된 결과를 보장한다.",遵守,"ガイドラインの厳格な遵守は一貫した結果を保証する。",遵守,"严格遵守指南可确保结果一致。",adherencia,"La estricta adherencia a las directrices asegura resultados consistentes.",sự tuân thủ,"Sự tuân thủ nghiêm ngặt các hướng dẫn đảm bảo kết quả nhất quán.",การยึดมั่น,"การยึดมั่นในแนวทางอย่างเคร่งครัดทำให้ผลลัพธ์สม่ำเสมอ",kepatuhan,"Kepatuhan ketat terhadap pedoman memastikan hasil yang konsisten."
aggregate,"The aggregate score determines the final ranking.",총합의,"총합 점수가 최종 순위를 결정한다.",総合の,"総合スコアが最終順位を決定する。",总计的,"总分决定了最终排名。",agregado,"La puntuación agregada determina la clasificación final.",tổng hợp,"Điểm tổng hợp xác định thứ hạng cuối cùng.",รวม,"คะแนนรวมเป็นตัวกำหนดอันดับสุดท้าย",agregat,"Skor agregat menentukan peringkat akhir."
coincide,"The festival dates coincide with the national holiday.",일치하다,"축제 날짜가 국경일과 일치한다.",一致する,"祭りの日程が祝日と一致する。",重合,"节日日期与国定假日重合。",coincidir,"Las fechas del festival coinciden con el feriado nacional.",trùng hợp,"Ngày lễ hội trùng hợp với ngày nghỉ lễ quốc gia.",ตรงกัน,"วันเทศกาลตรงกับวันหยุดแห่งชาติ",bertepatan,"Tanggal festival bertepatan dengan hari libur nasional."
